Found 1614 results
17525980	Altered functional connectivity of primary visual cortex in early blindness.	Department of Radiology, Xuanwu Hospital of Capital University of Medical Sciences, Beijing, China.
19549821	Decoupling of the brain's default mode network during deep sleep.	Human Motor Control Section, Medical Neurology Branch, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD 20892, USA. silvina.horovitz@nih.gov
20561934	Restoration of mammillothalamic functional connectivity through thiamine replacement therapy in Wernicke's encephalopathy.	Department of Psychiatry, Institute of Behavioral Science in Medicine, Yonsei University College of Medicine, 134 Shinchon-dong, 250 Seongsanno, Seodaemeun-gu, Seoul 120-752, Republic of Korea.
21671733	Neural encoding of objects relevant for navigation and resting state correlations with navigational ability.	Centre for Cognitive Neuroimaging, Donders Institute for Brain, Cognition and Behaviour, Radboud University Nijmegen, P.O. Box 9101, 6500 HB Nijmegen, The Netherlands. joost.wegman@donders.ru.nl
22752783	A review of the default mode network in aging and dementia based on molecular imaging.	Department of Biofunctional Imaging, Medical Photonics Research Center Hamamatsu University School of Medicine, Hamamatsu, Japan. ouchi@hama-med.ac.jp
21211551	Differential involvement of striato- and cerebello-thalamo-cortical pathways in tremor- and akinetic/rigid-predominant Parkinson's disease.	Department of Neurology, Pennsylvania State University, Milton S. Hershey Medical Center, Hershey, PA 17033, USA.
19837176	Defining functional SMA and pre-SMA subregions in human MFC using resting state fMRI: functional connectivity-based parcellation method.	Department of Biomedical Engineering, Hanyang University, Seoul 133-791, Republic of Korea.
21782030	Apathy, depression, and motor symptoms have distinct and separable resting activity patterns in idiopathic Parkinson disease.	North Florida/South Georgia Veterans Health System, Gainesville, FL, USA; Department of Psychiatry, University of Florida, Gainesville, FL, USA; Department of Psychology, University of Florida, Gainesville, FL, USA.
17572781	[Brain functions in attention deficit hyperactivity disorder combined and inattentive subtypes: A resting-state functional magnetic resonance imaging study].	Institute of Mental Health, Peking University, Beijing 100083, China.
21047495	Using a self-organizing map algorithm to detect age-related changes in functional connectivity during rest in autism spectrum disorders.	Department of Psychology, University of Michigan, Ann Arbor, MI 48109, USA. leejilli@umich.edu
19500677	Brain encoding of acupuncture sensation--coupling on-line rating with fMRI.	MGH/HMS/MIT Martinos Center for Biomedical Imaging, Massachusetts General Hospital, Boston, MA, USA.
20974263	Functional connectivity in the rat at 11.7T: Impact of physiological noise in resting state fMRI.	In-vivo-NMR Laboratory, Max Planck Institute for Neurological Research, Cologne, Germany. Daniel.Kalthoff@nf.mpg.de
22840241	Altered resting brain function and structure in professional badminton players.	Center for Studies of Psychological Application, South China Normal University, Guangzhou, China.
22752234	Magnetic resonance imaging in late-life depression: multimodal examination of network disruption.	University Department of Psychiatry, University of Oxford, UK.
23011761	Imaging pain in arthritis: advances in structural and functional neuroimaging.	Arthritis Research UK Biomechanics and Bioengineering Centre, Cardiff University, Cardiff, CF10 3AX, UK. HarveyAK@cardiff.ac.uk
21827007	[Study on resting-state default mode network in patients with posttraumatic stress disorder after the earthquake].	Mental Health Center, West China Hospital, Sichuan University, Chengdu 610041, China.
21625517	Interictal functional connectivity of human epileptic networks assessed by intracerebral EEG and BOLD signal fluctuations.	Centre National de la Recherche Scientifique, UMR 6612, Centre de Résonance Magnétique Biologique et Médicale, Marseille, France.
21034792	Increased default mode network connectivity associated with meditation.	Department of Psychiatry, Seoul National University College of Medicine, Seoul, Republic of Korea.
22969709	Automated diagnoses of attention deficit hyperactive disorder using magnetic resonance imaging.	Department of Biostatistics, Bloomberg School of Public Health, Johns Hopkins University Baltimore, MD, USA.
23021898	Insular and anterior cingulate circuits in smokers with schizophrenia.	Maryland Psychiatric Research Center, Department of Psychiatry, University of Maryland School of Medicine, Baltimore, MD 21228, USA. lmoran@mprc.umaryland.edu
19539034	Resting-state BOLD networks versus task-associated functional MRI for distinguishing Alzheimer's disease risk groups.	Banner Alzheimer's Institute, Phoenix, AZ 85006, USA. Adam.Fleisher@Bannerhealth.com
20665717	Abnormal regional spontaneous neural activity in treatment-refractory depression revealed by resting-state fMRI.	Huaxi MR Research Center, Department of Radiology, West China Hospital of Sichuan University, Chengdu, China.
22121056	Detection of physiological noise in resting state fMRI using machine learning.	Wolfson Brain Imaging Centre, University of Cambridge, Cambridge, United Kingdom. twja2@wbic.cam.ac.uk
22398395	Enhancement of temporal resolution and BOLD sensitivity in real-time fMRI using multi-slab echo-volumar imaging.	Department of Neurology, University of New Mexico School of Medicine, Albuquerque, NM 87131, USA. sposse@unm.edu
23162439	Kernel Principal Component Analysis for dimensionality reduction in fMRI-based diagnosis of ADHD.	Department of Computing Science, University of Alberta Edmonton, AB, Canada ; Alberta Innovates Center for Machine Learning, University of Alberta Edmonton, AB, Canada ; General Analytics Inc. Edmonton, AB, Canada.
22645253	Impulsivity and the Modular Organization of Resting-State Neural Networks.	Laboratory of NeuroGenetics, Department of Psychology and Neuroscience and.
20941370	Whole brain resting-state analysis reveals decreased functional connectivity in major depression.	Leiden Institute for Brain and Cognition Leiden, Netherlands.
17080441	Task demand modulation of steady-state functional connectivity to primary motor cortex.	Department of Biomedical Engineering, Vanderbilt University, Nashville, Tennessee 37232-2310, USA. allen.t.newton@vanderbilt.edu
21086510	Functional connectivity and neurological recovery.	Washington University School of Medicine, Saint Louis, MO 63110.
18003904	Selective changes of resting-state networks in individuals at risk for Alzheimer's disease.	Department of Psychiatry, Klinikum Rechts der Isar, Technische Universität München, Ismaningerstrasse 22, 81675 Munich, Germany. c.sorg@lrz.tum.de
21693087	Resting state activity in patients with disorders of consciousness.	Coma Science Group, Cyclotron Research Center, University of Liège, Belgium. andrea.soddu@ulg.ac.be
22366080	Enhancing reproducibility of fMRI statistical maps using generalized canonical correlation analysis in NPAIRS framework.	Control and Intelligent Processing Center of Excellence, School of Electrical and Computer Engineering, College of Engineering, University of Tehran, Tehran, Iran.
20703687	Unbiased group-wise image registration: applications in brain fiber tract atlas construction and functional connectivity analysis.	Neuroimaging Research Branch, National Institute on Drug Abuse, Baltimore, MD, USA. gengx@nida.nih.gov
20829489	Prediction of individual brain maturity using fMRI.	Department of Neurology, Washington University School of Medicine, St. Louis, MO 63110, USA. ndosenbach@wustl.edu
23055501	α-band phase synchrony is related to activity in the fronto-parietal adaptive control network.	Helen Wills Neuroscience Institute and Department of Psychology, University of California Berkeley, Berkeley, California 94720, USA. sepideh.sadaghiani@gmail.com
19052227	A functional magnetic resonance imaging study on the neural mechanisms of hyperalgesic nocebo effect.	Department of Psychiatry, Massachusetts General Hospital, Massachusetts General Hospital, Massachusetts Institute of Technology/Harvard Medical School Athinoula A Martinos Center for Biomedical Imaging, Boston, Massachusetts 02215, USA.
12958209	Electroencephalographic signatures of attentional and cognitive default modes in spontaneous brain activity fluctuations at rest.	Cognitive Neurology Unit, Department of Neurology, J. W. Goethe University, Theodor-Stern-Kai 7, D-60590 Frankfurt am Main, Germany.
22987670	Altered resting-state activity in seasonal affective disorder.	Department of Diagnostic Radiology, Oulu University Hospital, Oulu, Finland. ahmed.abou.elseoud@oulu.fi, abouelseoud.ahmed@gmail.com.
19605648	Modulation of cerebellar excitability by polarity-specific noninvasive direct current stimulation.	Department of Physical Medicine and Rehabilitation, Johns Hopkins Medical Institution, Baltimore, Maryland 21231, USA.
23075728	Abnormal functional connectivity with mood regulating circuit in unmedicated individual with major depression: a resting-state functional magnetic resonance study.	Division of Mood Disorder, Shanghai Mental Health Center, Shanghai Jiao Tong University School of Medicine, Shanghai 200030, China.
22366334	The Human Connectome Project: a data acquisition perspective.	Department of Anatomy & Neurobiology, Washington University, St. Louis, MO, USA. vanessen@wustl.edu
22459434	FMRI connectivity analysis of acupuncture effects on the whole brain network in mild cognitive impairment patients.	Medical Image Processing Group, Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China.
21949877	Increased activity imbalance in fronto-subcortical circuits in adolescents with major depression.	Department of Medical Imaging, Nanjing Jinling Hospital, Medical School of Nanjing University, Nanjing, China.
18299296	Disrupted small-world networks in schizophrenia.	National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing 100080, China.
22682905	Neuronal effects following working memory training.	The University of Michigan, Department of Psychology, East Hall, 530 Church Street, Ann Arbor, MI 48109-1043, USA. mbu@umich.edu
23136423	Thalamocortical asynchrony in conditions of spinal cord injury pain in rats.	Department of Neural and Pain Sciences, Program in Neuroscience, University of Maryland School of Dentistry, Baltimore, Maryland 21201, USA.
19782614	Hypnotic induction decreases anterior default mode activity.	Department of Psychology, University of Hull, UK.
22361166	Dissociable large-scale networks anchored in the right anterior insula subserve affective experience and attention.	Athinoula A. Martinos Center for Biomedical Imaging, Massachusetts General Hospital and Harvard Medical School, Charlestown, Massachusetts 02115, USA.
22470337	Correspondence between structure and function in the human brain at rest.	Mind Research Network, Albuquerque, NM, USA.
22955145	Increased local synchronization of resting-state fMRI signal after episodic memory encoding reflects off-line memory consolidation.	State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing, China.
22573677	Differential connectivity of perirhinal and parahippocampal cortices within human hippocampal subregions revealed by high-resolution functional imaging.	Department of Psychology, University of California, Davis, Davis, CA 95616, USA. lalibby@ucdavis.edu
17400412	Altered default mode network activity in patient with anxiety disorders: an fMRI study.	Imaging Department of Tong Ji Hospital of Tong Ji University, Shanghai 200065, PR China. xhzhao999@263.net
22609238	Cerebellar rTMS stimulation may induce prolonged clinical benefits in essential tremor, and subjacent changes in functional connectivity: an open label trial.	Centre de NeuroImagerie de Recherche, Paris, France. traian.popa@upmc.fr
23124844	Functional connectivity networks associated with chronic musculoskeletal pain in old age.	Department of Behavioral Sciences, Rush University Medical Center, Chicago, IL, USA; Rush Alzheimer's Disease Center, Rush University Medical Center, Chicago, IL, USA; Mental Health Care Group, VA Long Beach Healthcare System, Long Beach, CA, USA.
22695315	Altered topological patterns of brain networks in mild cognitive impairment and Alzheimer's disease: a resting-state fMRI study.	Intelligent Medical Research Center, Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China.
23116810	Abnormal amplitude low-frequency oscillations in medication-naive, first-episode patients with major depressive disorder: a resting-state fMRI study.	Key Laboratory for NeuroInformation of Ministry of Education, School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu, Sichuan 610054, China.
20815055	Functional connectivity in blood oxygenation level-dependent and cerebral blood volume-weighted resting state functional magnetic resonance imaging in the rat brain.	Georgia Institute of Technology and Emory University, Biomedical Engineering, Atlanta, Georgia, USA.
22204928	Endogenous cortisol is associated with functional connectivity between the amygdala and medial prefrontal cortex.	Leiden Institute for Brain and Cognition (LIBC), Leiden, The Netherlands. i.m.veer@lumc.nl
18465799	Neuronal correlates of spontaneous fluctuations in fMRI signals in monkey visual cortex: Implications for functional connectivity at rest.	Montreal Neurological Institute, Departments of Neurology and Neurosurgery and Biomedical Engineering, McGill University, Montreal, QC, Canada. amir.shmuel@mcgill.ca
19448848	Alterations in default network connectivity in posttraumatic stress disorder related to early-life trauma.	Department of Philosophy and Religious Studies, Old Dominion University, Norfolk, VA, USA.
22418737	Identifying major depression using whole-brain functional connectivity: a multivariate pattern analysis.	College of Mechatronics and Automation, National University of Defense Technology, Changsha, Hunan, People's Republic of China.
23281202	Working memory-related changes in functional connectivity persist beyond task disengagement.	Interdisciplinary Program in Neuroscience, Georgetown University Medical Center, Washington, DC. emg56@georgetown.edu.
21924367	Reliability analysis of the resting state can sensitively and specifically identify the presence of Parkinson disease.	North Florida/South Georgia Veterans Health System, Gainesville, FL, USA; Department of Psychiatry, University of Florida, Gainesville, FL, USA. Electronic address: fskidmore@ufl.edu.
21385618	White matter cerebral blood flow is inversely correlated with structural and functional connectivity in the human brain.	Advanced Imaging Research Center, University of Texas Southwestern Medical Center, Dallas, TX 75390, USA.
15527993	The effect of sensorimotor activation on functional connectivity mapping with MRI.	Department of Radiology and Radiological Sciences, Vanderbilt University Medical Center, Nashville, TN 37232-2675, USA. victoria.morgan@vanderbilt.edu
22298826	Functional connectivity of the frontal eye fields in humans and macaque monkeys investigated with resting-state fMRI.	Department of Psychology, University of Western Ontario, London, Ontario, Canada.
20130361	[Diffusion tensor imaging and resting state functional magnetic resonance imaging on young patients with major depressive disorder].	Department of Neurology, Xiangya Hospital, Central South University, Changsha 410008, China.
21406160	Aberrant connectivity of resting-state networks in borderline personality disorder.	Center of Psychosocial Medicine, Department of General Psychiatry, University of Heidelberg, Germany. christian.wolf@med.uni-heidelberg.de
20133824	Genetic control over the resting brain.	Olin Neuropsychiatry Research Center, Institute of Living, Hartford Hospital, Hartford, CT 06106, USA. david.glahn@yale.edu
22535702	Test-retest stability analysis of resting brain activity revealed by blood oxygen level-dependent functional MRI.	Department of Biomedical Engineering, Shanghai Jiao Tong University, People's Republic of China.
22275481	The anatomical distance of functional connections predicts brain network topology in health and schizophrenia.	Department of Psychiatry, Behavioural and Clinical Neuroscience Institute, University of Cambridge, Cambridge CB2 3EB, UK. aalexanderbloch@gmail.com
22633528	Whole brain resting state functional connectivity abnormalities in schizophrenia.	Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, MA, United States.
19494158	L-dopa modulates functional connectivity in striatal cognitive and motor networks: a double-blind placebo-controlled study.	Phyllis Green and Randolph Cowen Institute for Pediatric Neuroscience, New York University Child Study Center, New York, New York 10016, USA.
22836253	Intrinsic organization of the anesthetized brain.	Center for Comparative Neuroimaging, Department of Psychiatry, University of Massachusetts Medical School, Worcester, Massachusetts 01655, USA.
21654735	Abnormal medial prefrontal cortex resting-state connectivity in bipolar disorder and schizophrenia.	Department of Brain and Cognitive Sciences, Poitras Center for Affective Disorders Research, McGovern Institute for Brain Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA. xiaoqian@mit.edu
17307337	Task-induced deactivation of midline cortical regions in schizophrenia assessed with fMRI.	Melbourne Neuropsychiatry Centre, Department of Psychiatry, The University of Melbourne, Australia. habj@unimelb.edu.au
22749355	Resting-state functional connectivity abnormalities in limbic and salience networks in social anxiety disorder without comorbidity.	Department of Psychiatry, Leiden University Medical Center, Leiden, The Netherlands. j.pannekoek@lumc.nl
19250174	A combined neuropsychological and brain imaging study of obstructive sleep apnea.	Inserm - EPHE - Université de Caen Basse-Normandie, Unité 923, GIP Cyceron, CHU Côte de Nacre, Caen, France.
20225222	Overall brain connectivity maps show cortico-subcortical abnormalities in schizophrenia.	Benito Menni C.A.S.M.-CIBERSAM, Sant Boi de Llobregat, Barcelona, Spain. rsalvador@hospitalbenitomenni.org
22813979	Basal ganglia circuits changes in Parkinson's disease patients.	Department of Neurobiology, Key Laboratory on Neurodegenerative Disorders of Ministry of Education, Beijing Institute of Geriatrics, Xuanwu Hospital, Capital Medical University, Beijing 100053, China. wutao69@gmail.com
21228916	Reduced Interhemispheric Functional Connectivity in the Motor Cortex during Rest in Limb-Onset Amyotrophic Lateral Sclerosis.	Department of Radiology, Basic Radiological Sciences, University of Michigan Ann Arbor, MI, USA.
22937041	Altered spontaneous activity in anisometropic amblyopia subjects: revealed by resting-state FMRI.	State Key Laboratory of Ophthalmology, Zhongshan Ophthalmic Center, Sun Yat-sen University, Guangzhou, China. linxiaom@mail.sysu.edu.cn
21559028	Magnetic resonance perfusion imaging of resting-state cerebral blood flow in preclinical Huntington's disease.	Center of Psychosocial Medicine, Department of General Psychiatry, University of Heidelberg, Heidelberg, Germany. christian.wolf@med.uni-heidelberg.de
19072897	Two systems of resting state connectivity between the insula and cingulate cortex.	Division of Brain, Imaging and Behavior-Systems Neuroscience, Toronto Western Research Institute, University Health Network, Toronto, Canada.
19969009	Effects of heartbeat and respiration on macaque fMRI: implications for functional connectivity.	Columbia University, Department of Psychiatry and Neuroscience, David Mahoney Centre for Brain and Behavior Research, New York, USA. tt2288@columbia.edu
22542993	Quantitative fMRI and oxidative neuroenergetics.	Magnetic Resonance Research Center, Yale University, New Haven, Connecticut 06520, USA. fahmeed.hyder@yale.edu
22972637	Visual resting-state network in relapsing-remitting MS with and without previous optic neuritis.	Department of Neurological Sciences, Second University of Naples, Naples, Italy.
22044604	Watching the fetal brain at 'rest'.	Department of Radiology, Division of Neuro- and Musculoskeletal Radiology, Medical University of Vienna, Austria. veronika.schoepf@meduniwien.ac.at
17948882	Spatial nonuniformity of the resting CBF and BOLD responses to sevoflurane: in vivo study of normal human subjects with magnetic resonance imaging.	Department of Diagnostic Radiology, Yale University School of Medicine, The Anlyan Center N128, New Haven, Connecticut 06520-8042, USA. maolin.qiu@yale.edu
22563460	Impaired small-world network efficiency and dynamic functional distribution in patients with cirrhosis.	Department of Biomedical Imaging and Radiological Sciences, National Yang-Ming University, Taipei, Taiwan.
21713583	[Structural and functional neuronal connectivity in Alzheimer's disease: a combined DTI and fMRI study].	Alzheimer Gedächtniszentrum, Klinik und Poliklinik für Psychiatrie und Psychotherapie, Ludwig-Maximilians-Universität München, München, Deutschland.
16632379	Separating respiratory-variation-related fluctuations from neuronal-activity-related fluctuations in fMRI.	Laboratory of Brain and Cognition, National Institute of Mental Health, NIH, 10 Center Dr., Bldg. 10, Rm. 1D80 Bethesda, MD 20892-1148, USA. rbirn@nih.gov
18322013	The maturing architecture of the brain's default network.	Department of Neurology, Washington University, St. Louis, MO 63110, USA. damien.fair@aya.yale.edu
9558644	Functional connectivity in single and multislice echoplanar imaging using resting-state fluctuations.	Department of Medical Physics, University of Wisconsin, Madison, USA.
18346764	Altered deactivation in individuals with genetic risk for Alzheimer's disease.	Department of Psychology, Stockholm University, S-106 91 Stockholm, Sweden. jonas.persson@psychology.su.se
ERROR entry not found for 23274833
19592571	Segregated fronto-cerebellar circuits revealed by intrinsic functional connectivity.	Department of Psychology, Center for Brain Science, Harvard University, Cambridge, MA 02138, USA. krienen@wjh.harvard.edu
22887827	Brain activation and functional connectivity in premanifest Huntington's disease during states of intrinsic and phasic alertness.	Center of Psychosocial Medicine, Department of General Psychiatry, University of Heidelberg, Germany. christian.wolf@med.uni-heidelberg.de
20493268	Multimodal analysis of resting state cortical activity: what does EEG add to our knowledge of resting state BOLD networks?	Clinic of Neurology and Brain Imaging Center, Goethe University, Frankfurt am Main, Germany. helmut@laufs.com
20967203	Task-related effects on the temporal and spatial dynamics of resting-state functional connectivity in the default network.	Rotman Research Institute at Baycrest, Toronto, Ontario, Canada. OGrigg@Rotman-Baycrest.on.ca
21980454	Altered topological properties of functional network connectivity in schizophrenia during resting state: a small-world brain network study.	The Mind Research Network, Albuquerque, New Mexico, United States of America. qyu@mrn.org
21459148	Weight-conserving characterization of complex functional brain networks.	Black Dog Institute and School of Psychiatry, University of New South Wales, Sydney, Australia. m.rubinov@student.unsw.edu.au
21299966	[Neuroimaging technique: a diagnostic tool to detect altered states of consciousness].	Coma Science group, Centre de Recherches du Cyclotron, Université et Centre Hospitalier Universitaire de Liège, Sart-Tilman, B30, 4000 Liège, Belgique.
21995040	Connectivity-informed fMRI activation detection.	Biomedical Signal and Image Computing Lab, UBC, Canada. bernardyng@gmail.com
20861038	Self-similar correlation function in brain resting-state functional magnetic resonance imaging.	Institute for Mathematical Sciences, Imperial College London, London, UK.
22032950	The impact of serotonin transporter (5-HTTLPR) genotype on the development of resting-state functional connectivity in children and adolescents: a preliminary report.	Department of Psychology, University of Michigan, Ann Arbor, MI 48109, USA. leejilli@umich.edu
17210143	Resting-state functional connectivity in major depression: abnormally increased contributions from subgenual cingulate cortex and thalamus.	Department of Neurology and Neurological Sciences, Stanford University Medical Center, Stanford, California 94305-5235, USA. greicius@stanford.edu
22578721	Default mode network activity in schizophrenia studied at resting state using probabilistic ICA.	Department of Psychiatry and Psychotherapy, Jena University Hospital, Jena, Germany.
18632288	Frequency specificity of functional connectivity in brain networks.	Neuroimaging Research Branch, National Institute on Drug Abuse, NIH, Baltimore, MD 21224, USA.
22440649	Concurrent fNIRS and fMRI processing allows independent visualization of the propagation of pressure waves and bulk blood flow in the cerebral vasculature.	Brain Imaging Center, McLean Hospital, 115 Mill Street, Belmont, MA 02478, USA. ytong@mclean.harvard.edu
21811454	Integrating temporal and spatial scales: human structural network motifs across age and region of interest size.	Institute for Chemistry and Biology of the Marine Environment, Carl von Ossietzky University Oldenburg, Germany.
21589884	Increased resting-state perfusion after repeated encoding is related to later retrieval of declarative associative memories.	Section for Neuropsychology and Functional Imaging, Department of Psychiatry, Ulm University, Ulm, Germany. georg.groen@uni-ulm.de
20034928	Default network connectivity reflects the level of consciousness in non-communicative brain-damaged patients.	Coma Science Group, Cyclotron Research Centre, University of Liège, Allée du 6 août, B30, Liège, Belgium.
22936906	Resting-state connectivity of the amygdala is altered following Pavlovian fear conditioning.	Department of Psychology, University of Wisconsin-Milwaukee Milwaukee, WI, USA.
21807101	Are brain networks stable during a 24-hour period?	Brain Korea 21 Project for Medical Science, Department of Radiology, Nuclear Medicine and Severance Biomedical Science Institute, Yonsei University College of Medicine, Seoul, Republic of Korea.
20132802	Altered spontaneous neuronal activity of the default-mode network in mesial temporal lobe epilepsy.	Department of Medical Imaging, Jinling Hospital, Nanjing University School of Medicine, Nanjing 210002, China.
19796693	Interhemispheric neuroplasticity following limb deafferentation detected by resting-state functional connectivity magnetic resonance imaging (fcMRI) and functional magnetic resonance imaging (fMRI).	Department of Biophysics, Medical College of Wisconsin, 8701 Watertown Plank Road, Milwaukee, WI 53226, USA.
19909818	Identifying the brain's most globally connected regions.	Department of Psychology, Washington University, St. Louis, MO 63130, USA. mwcole@mwcole.net
22219283	Echoes of the brain within the posterior cingulate cortex.	Computational, Cognitive and Clinical Neuroscience Laboratory, Division of Experimental Medicine, Department of Medicine, Hammersmith Hospital Campus, Imperial College London, London W12 0NN, United Kingdom. r.leech@imperial.ac.uk
22245341	The role of physiological noise in resting-state functional connectivity.	Department of Psychiatry, University of Wisconsin Madison, Madison, WI 53719, USA. rbirn@wisc.edu
21811449	Recency Effects in the Inferior Parietal Lobe during Verbal Recognition Memory.	Rotman Research Institute, Baycrest Hospital Toronto, ON, Canada.
16470596	Tissue specificity of nonlinear dynamics in baseline fMRI.	Department of Biomedical Engineering, Georgia Tech/Emory, Atlanta, GA, USA.
22231384	Decreased functional brain connectivity in individuals with early-treated phenylketonuria: evidence from resting state fMRI.	Department of Psychological Sciences, University of Missouri, 210 McAlester Hall, Columbia, MO 65203, USA. christse@missouri.edu
22008370	Discriminative analysis of early Alzheimer's disease using multi-modal imaging and multi-level characterization with multi-classifier (M3).	State Key laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, and Department of Radiology, Xuanwu Hospital, Beijing, 100875, China.
21565220	Detecting overlapped functional clusters in resting state fMRI with Connected Iterative Scan: a graph theory based clustering algorithm.	Cognitive Science Department, Rensselaer Polytechnic Institute, Troy, NY 12180, USA. xiaodan.yan@yahoo.com
23060755	ADHD diagnosis from multiple data sources with batch effects.	NeuroInformatics Laboratory, Bruno Kessler Foundation Trento, Italy ; Center for Mind and Brain Sciences, University of Trento Trento, Italy.
18981063	Association of cerebral deficits with clinical symptoms in antipsychotic-naive first-episode schizophrenia: an optimized voxel-based morphometry and resting state functional connectivity study.	Huaxi MR Research Center (HMRRC), Department of Radiology, West China Hospital of Sichuan University, Chengdu 610041, PR China.
20599837	Cerebral and functional adaptation with chronic hypoxia exposure: a multi-modal MRI study.	Laboratory for Higher Brain Function, Institute of Psychology, Chinese Academy of Sciences, Beijing 100101, China.
22405733	A clustering-based method to detect functional connectivity differences.	Department of Biophysics, Medical College of Wisconsin, Milwaukee, WI 53226, USA.
17919927	A simple view of the brain through a frequency-specific functional connectivity measure.	Fundació Sant Joan de Déu, SJD SSM, Dr. Antoni Pujadas, 42 Sant Boi de Llobregat 08830, Barcelona, Spain. rs381@wbic.cam.ac.uk
23019001	Frequency distribution of causal connectivity in rat sensorimotor network: resting-state fMRI analyses.	Department of Bio and Brain, Korea Advanced Institute of Science and Technology, Daejeon, South Korea.
20382183	Mapping resting-state brain networks in conscious animals.	Center for Comparative Neuroimaging (CCNI), Department of Psychiatry, University of Massachusetts Medical School, 55 Lake Avenue North, Worcester, MA 01655, United States. Nanyin.Zhang@umassmed.edu
22783172	L-DOPA changes spontaneous low-frequency BOLD signal oscillations in Parkinson's disease: a resting state fMRI study.	Neuroscience Program, University of Michigan, Ann Arbor MI, USA.
22255475	Assessment of functional and structural connectivity between motor cortex and thalamus using fMRI and DWI.	Physics and Biomedical Engineering Department, Tehran University of Medical Sciences, Iran. Jaberzadeh@razi.tums.ac.ir
19779619	Impact of working memory load on FMRI resting state pattern in subsequent resting phases.	Department of Psychiatry, University of Münster, Münster, Germany.
22401986	Differences in resting-state functional magnetic resonance imaging functional network connectivity between schizophrenia and psychotic bipolar probands and their unaffected first-degree relatives.	Olin Neuropsychiatry Research Center, Hartford Hospital/Institute of Living, Hartford, Connecticut 06106, USA.
22415720	Functional imaging and the cerebellum: recent developments and challenges. Editorial.	(blank affiliation)
21072180	Loss of 'small-world' networks in Alzheimer's disease: graph analysis of FMRI resting-state functional connectivity.	Department of Radiology, VU University Medical Center, Amsterdam, The Netherlands. e.sanz.arigita@gmail.com
21553342	Preserved interhemispheric functional connectivity in a case of corpus callosum agenesis.	(blank affiliation)
21331371	Dissociated emergent-response system and fine-processing system in human neural network and a heuristic neural architecture for autonomous humanoid robots.	Cognitive Science Department, Rensselaer Polytechnic Institute, Troy, NY 12180, USA. yanxd.neuro@gmail.com
19891811	Reduced connectivity of the auditory cortex in patients with auditory hallucinations: a resting state functional magnetic resonance imaging study.	Howard Florey Institute, Florey Neuroscience Institutes, Florey Neuroscience Institutes, University of Melbourne, Parkville, 3010, Victoria, Australia. maria.gavrilescu@florey.edu.au
21459147	An improved method for mapping cerebrovascular reserve using concurrent fMRI and near-infrared spectroscopy with Regressor Interpolation at Progressive Time Delays (RIPTiDe).	Brain Imaging Center, McLean Hospital, 115 Mill Street, Belmont, MA 02478, USA.
22381593	Spatiotemporal dynamics of the brain at rest--exploring EEG microstates as electrophysiological signatures of BOLD resting state networks.	Laureate Institute for Brain Research, 6655 South Yale Avenue, Tulsa, OK 74136, USA.
21864689	Anticorrelated resting-state functional connectivity in awake rat brain.	Center for Comparative Neuroimaging, Department of Psychiatry, University of Massachusetts Medical School, Worcester, MA 01655, USA.
18347739	Automatic physiological waveform processing for FMRI noise correction and analysis.	Waisman Laboratory for Brain Imaging and Behavior, Waisman Center, University of Wisconsin, Madison, Wisconsin, United States of America. djkelley@wisc.edu
21689765	Changes occur in resting state network of motor system during 4 weeks of motor skill learning.	Department of Psychiatry and Behavioral Sciences, University of Texas Health Science Center, Houston, TX 77054, USA. liangsuo.ma@uth.tmc.edu
22019881	Spurious but systematic correlations in functional connectivity MRI networks arise from subject motion.	Department of Neurology, Washington University School of Medicine, St. Louis, MO 63110, USA. powerj@wusm.wustl.edu
22276215	Resting-state brain activity in adult males who stutter.	Department of Anatomy, Tianjin Medical University, Tianjin, China.
21376785	Abnormal baseline brain activity in posttraumatic stress disorder: a resting-state functional magnetic resonance imaging study.	Mental Health Institute, The Second Xiangya Hospital of Central South University, 139# Renmin Zhong Road, Changsha 410011, Hunan, PR China.
21163879	Functional connectivity MR imaging of the language network in patients with drug-resistant epilepsy.	Department of Radiology, Catholic University of Rome, Italy.
21265603	Functional connectivity and coactivation of the nucleus accumbens: a combined functional connectivity and structure-based meta-analysis.	Koelliker Hospital, Turin, Italy. franco.cauda@unito.it
20404306	Default-mode network dysfunction and cognitive impairment in progressive MS.	Neuroimaging Research Unit, Institute of Experimental Neurology, Division of Neuroscience, Scientific Institute and University Ospedale San Raffaele, Milan, Italy.
23266702	RESCALE: Voxel-specific task-fMRI scaling using resting state fluctuation amplitude.	MR Centre of Excellence, Center for Medical Physics and Biomedical Engineering, Medical University of Vienna, Vienna, Austria.
21429192	The temporal-spatial encoding of acupuncture effects in the brain.	Medical Image Processing Group, Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China.
