Location,Titles
"32.1133141,34.8043877",Sex beyond the genitalia: The human brain mosaic
"32.2318851,-110.9501094",Violence: heightened brain attentional network response is selectively muted in Down syndrome
"32.2849239,-110.934842","Developmental changes in neuromagnetic rhythms and network synchrony in autism, Progress and challenges in probing the human brain"
"32.4438777,35.0109759",Brain “Globalopathies” cause mental disorders
"32.7305216,-97.1228678",Multimodal connectivity of motor learning-related dorsal premotor cortex
"32.7501933,-117.1647044",Intrinsic functional connectivity of periaqueductal gray subregions in humans
"32.754257,-117.1659225",Local adaptive segmentation
"32.75438380000001,-117.1658336",Toddlers later diagnosed with autism exhibit multiple structural abnormalities in temporal corpus callosum fibers
"32.7678287,-117.0230839","Diagnostic classification of intrinsic functional connectivity highlights somatosensory, default mode, and visual regions in autism"
"32.77572170000001,-117.0718893","Local resting state functional connectivity in autism: site and cohort variability and the effect of eye status, Enhancing studies of the connectome in autism using the Autism Brain Imaging Data Exchange II, Regional specificity of aberrant thalamocortical connectivity in autism, Autism Brain Imaging Data Exchange, Using Make for Reproducible and Parallel Neuroimaging Workflow and Quality-Assurance, Diagnostic classification of intrinsic functional connectivity highlights somatosensory, default mode, and visual regions in autism"
"32.776732,-117.06257","Underconnected, But Not Broken? Dynamic Functional Connectivity MRI Shows Underconnectivity in Autism Is Linked to Increased Intra-Individual Variability Across  …, Children with ASD show links between aberrant sound processing, social symptoms, and atypical auditory interhemispheric and thalamocortical functional  …, Reduced Hemispheric Asymmetry of White Matter Microstructure in Autism Spectrum Disorder, Regional specificity of aberrant thalamocortical connectivity in autism, Diagnostic classification of intrinsic functional connectivity highlights somatosensory, default mode, and visual regions in autism"
"32.7767783,35.0231271",Brain “Globalopathies” cause mental disorders
"32.7768233,-117.0693407","Diagnostic classification of intrinsic functional connectivity highlights somatosensory, default mode, and visual regions in autism"
"32.7776668,-117.0713998","Local resting state functional connectivity in autism: site and cohort variability and the effect of eye status, The autism brain imaging data exchange: towards a large-scale evaluation of the intrinsic brain architecture in autism"
"32.7834848,-79.9519546","Connectivity, Connectivity"
"32.812123,-96.8400459","Neural complexity as a potential translational biomarker for psychosis, Motion‐related artifacts in structural brain images revealed with independent estimates of in‐scanner head motion"
"32.8342598,34.9838015","Intrinsic connectivity between the hippocampus, nucleus accumbens, and ventral tegmental area in humans"
"32.8342902,-96.8688262",Motion‐related artifacts in structural brain images revealed with independent estimates of in‐scanner head motion
"32.8698445,-117.2262713","Functional connectivity MRI in autism, Periventricular white matter abnormalities and restricted repetitive behavior in autism spectrum disorder"
"32.8750542,-117.2362871",The function biomedical informatics research network data repository
"32.8752008,-117.2358106","Reduced Hemispheric Asymmetry of White Matter Microstructure in Autism Spectrum Disorder, The function biomedical informatics research network data repository"
"32.8753618,-117.2358621","Regional specificity of aberrant thalamocortical connectivity in autism, Scanning the horizon: towards transparent and reproducible neuroimaging research, Functional connectivity MRI in autism, Diagnostic classification of intrinsic functional connectivity highlights somatosensory, default mode, and visual regions in autism"
"32.8755461,-117.2324358",Toddlers later diagnosed with autism exhibit multiple structural abnormalities in temporal corpus callosum fibers
"32.8757338,-117.2380582","Functional connectivity MRI in autism, Big data from small data: data-sharing in the'long tail'of neuroscience, Connecting connectomes, Default mode connectivity in youth with perinatally acquired HIV, Regional specificity of aberrant thalamocortical connectivity in autism, Toddlers later diagnosed with autism exhibit multiple structural abnormalities in temporal corpus callosum fibers, Periventricular white matter abnormalities and restricted repetitive behavior in autism spectrum disorder"
"32.8800604,-117.2340135","Graphlet characteristics in directed networks, Big data from small data: data-sharing in the'long tail'of neuroscience"
"32.9622767,35.4978887",DNA methylation analysis of the autistic brain reveals multiple dysregulated biological pathways
"32.9857619,-96.7500993",Autism spectrum traits in normal individuals: a preliminary VBM analysis
"33.2140233,-87.5391418",Mindcontrol: A Web Application for Br1189ain Segmentation Quality Control
"33.34067,120.160835","Eating behavior associated with gray matter volume alternations: A voxel based morphometry study, Low frequency analysis of resting-state fMRI"
"33.42357,-111.939487",Functional organization of the fusiform gyrus revealed with connectivity profiles
"33.4537243,-112.0707974","Autism Brain Imaging Data Exchange, Enhancing studies of the connectome in autism using the Autism Brain Imaging Data Exchange II"
"33.481023,-112.078467","Autism Brain Imaging Data Exchange, Enhancing studies of the connectome in autism using the Autism Brain Imaging Data Exchange II"
"33.5021227,-86.8064447","Neuroimaging in Autism Spectrum Disorders, Would the field of cognitive neuroscience be advanced by sharing functional MRI data?, Local resting state functional connectivity in autism: site and cohort variability and the effect of eye status, The implications of brain connectivity in the neuropsychology of autism, Pooling morphometric estimates: a statistical equivalence approach"
"33.5055408,-86.801986","The Effects of the X Chromosome on Intrinsic Functional Connectivity in the Human Brain: Evidence from Turner Syndrome Patients, Multisite, multimodal neuroimaging of chronic urological pelvic pain: Methodology of the MAPP Research Network, The lag structure of intrinsic activity is focally altered in high functioning adults with autism"
"33.5073539,-86.80147649999999","Multisite, multimodal neuroimaging of chronic urological pelvic pain: Methodology of the MAPP Research Network"
"33.5805134,-101.8771274",The impact of study design on pattern estimation for single-trial multivariate pattern analysis
"33.6075228,-112.1598496",A small number of abnormal brain connections predicts adult autism spectrum disorder
"33.6266584,130.4250445",Identifying diagnostically‐relevant resting state brain functional connectivity in the ventral posterior complex via genetic data mining in autism spectrum disorder
"33.6404952,-117.8442962",The function biomedical informatics research network data repository
"33.646896,-117.849981",The Human Connectome Project: a data acquisition perspective
"33.7508176,-84.38563789999999","A robust classifier to distinguish noise from fMRI independent components, COINSTAC: a privacy enabled model and prototype for leveraging and processing decentralized brain imaging data, The function biomedical informatics research network data repository"
"33.752095,-84.38528099999999","Automated collection of imaging and phenotypic data to centralized and distributed data repositories, COINS Data Exchange: An open platform for compiling, curating, and disseminating neuroimaging data"
"33.753068,-84.38528190000001","Default mode network segregation and social deficits in autism spectrum disorder: Evidence from non-medicated children, The rise of large-scale imaging studies in psychiatry"
"33.7540824,-84.39059549999999",Graph-theoretical analysis of resting-state fMRI in pediatric obsessive–compulsive disorder
"33.7541825,-84.390626",Response inhibition and elevated parietal-cerebellar correlations in chronic adolescent cannabis users
"33.772814,-84.3958443","A Tool for Interactive Data Visualization: Application to Over 10,000 Brain Imaging and Phantom MRI Data Sets"
"33.7740522,-116.9723288",Unsupervised data-driven stratification of mentalizing heterogeneity in autism
"33.7774426,-84.3983014","Signal sampling for efficient sparse representation of resting state FMRI data, HAFNI-enabled largescale platform for neuroimaging informatics (HELPNI)"
"33.7880736,-117.8902504","Pallidum and lateral ventricle volume enlargement in autism spectrum disorder, Towards structured sharing of raw and derived neuroimaging data across existing resources, The function biomedical informatics research network data repository"
"33.7922414,-84.3217842",Traumatic brain injury imaging research roadmap
"33.7939674,-84.32181349999999",Aberrant intrinsic functional connectivity within and between corticostriatal and temporal–parietal networks in adults and youth with bipolar disorder
"33.7974199,-84.3234238","An Efficient and Reliable Statistical Method for Estimating Functional Connectivity in Large Scale Brain Networks Using Partial Correlation, Analyzing complex functional brain networks: fusing statistics and network science to understand the brain, Predicting Individual Brain Functional Connectivity Using a Bayesian Hierarchical Model"
"33.8035515,-84.31854220000001",New human-specific brain landmark: the depth asymmetry of superior temporal sulcus
"33.941097,-83.376753","Neural complexity as a potential translational biomarker for psychosis, Signal sampling for efficient sparse representation of resting state FMRI data, HAFNI-enabled largescale platform for neuroimaging informatics (HELPNI), Connectome-scale group-wise consistent resting-state network analysis in autism spectrum disorder"
"33.9480053,-83.3773221",Signal sampling for efficient sparse representation of resting state FMRI data
"33.9803182,-118.4400979",COINSTAC: a privacy enabled model and prototype for leveraging and processing decentralized brain imaging data
"33.996112,-81.0274276","Structural magnetic resonance imaging of autism spectrum disorder, The construction of MRI brain/head templates for Chinese children from 7 to 16 years of age"
"33.9996628,-81.02642349999999",A database of age-appropriate average MRI templates
"34.0199954,-118.2907118",Age differences in thalamic low frequency fluctuations
"34.0223519,-118.285117","Canceled connections: Lesion-derived network mapping helps explain differences in performance on a complex decision-making task, The function biomedical informatics research network data repository, Functional connectivity-based parcellation and connectome of cortical midline structures in the mouse: a perfusion autoradiography study, Connected brains and minds—The UMCD repository for brain connectivity matrices, Co-registration and distortion correction of diffusion and anatomical images based on inverse contrast normalization"
"34.0597165,-118.2046511",The image and data archive at the laboratory of neuro imaging
"34.061138,-118.2057365","Brainhack: a collaborative workshop for the open neuroscience community, The function biomedical informatics research network data repository, Default mode connectivity in youth with perinatally acquired HIV, Brainhack: a collaborative workshop for the open neuroscience community, Resting-State Functional Connectivity in Autism Spectrum Disorders: A Review, Heritability of the network architecture of intrinsic brain functional connectivity"
"34.0614212,-118.2051927",Traumatic brain injury imaging research roadmap
"34.0625829,-118.2024754",Modularity-based graph partitioning using conditional expected models
"34.0626564,-118.2000177",Functional connectivity-based parcellation and connectome of cortical midline structures in the mouse: a perfusion autoradiography study
"34.0630017,-118.2043898","Brainhack: a collaborative workshop for the open neuroscience community, Brainhack: a collaborative workshop for the open neuroscience community"
"34.064436,-118.446249","Insights into multimodal imaging classification of ADHD, Noise reduction in Arterial Spin Labeling based Functional Connectivity using nuisance variables, Co-registration and distortion correction of diffusion and anatomical images based on inverse contrast normalization, Magnetic resonance field strength effects on diffusion measures and brain connectivity networks"
"34.0651928,-118.4470087","Non-negative matrix factorization of multimodal MRI, fMRI and phenotypic data reveals differential changes in default mode subnetworks in ADHD"
"34.06586619999999,-118.4446615","Graph-theoretical analysis of resting-state fMRI in pediatric obsessive–compulsive disorder, Neurocognitive phenotypes and genetic dissection of disorders of brain and behavior"
"34.0658677,-118.4443879","The autism brain imaging data exchange: towards a large-scale evaluation of the intrinsic brain architecture in autism, The UCLA multimodal connectivity database: a web-based platform for brain connectivity matrix sharing and analysis, Enhancing studies of the connectome in autism using the Autism Brain Imaging Data Exchange II, Neuroimaging in autism spectrum disorder: brain structure and function across the lifespan, Decreased small-world functional network connectivity and clustering across resting state networks in schizophrenia: an fMRI classification tutorial, Autism Brain Imaging Data Exchange"
"34.0658932,-118.4447108",Use of EEG to diagnose ADHD
"34.0658937,-118.4433608","Multisite, multimodal neuroimaging of chronic urological pelvic pain: Methodology of the MAPP Research Network"
"34.06589400000001,-118.443361","The autism brain imaging data exchange: towards a large-scale evaluation of the intrinsic brain architecture in autism, Enhancing studies of the connectome in autism using the Autism Brain Imaging Data Exchange II, Neural signatures of autism spectrum disorders: insights into brain network dynamics, Autism Brain Imaging Data Exchange, Multisite, multimodal neuroimaging of chronic urological pelvic pain: Methodology of the MAPP Research Network, Convergent evidence of brain overconnectivity in children with autism?, Dynamic change of global and local information processing in propofol-induced loss and recovery of consciousness"
"34.0666809,-118.4422991",The future of medical diagnostics: large digitized databases
"34.0667342,-118.4456259","Reduced modulation of thalamocortical connectivity during exposure to sensory stimuli in ASD, The autism brain imaging data exchange: towards a large-scale evaluation of the intrinsic brain architecture in autism, The UCLA multimodal connectivity database: a web-based platform for brain connectivity matrix sharing and analysis, Noise reduction in Arterial Spin Labeling based Functional Connectivity using nuisance variables, Neural signatures of autism spectrum disorders: insights into brain network dynamics, Multisite, multimodal neuroimaging of chronic urological pelvic pain: Methodology of the MAPP Research Network"
"34.0667788,-118.4443802","The autism brain imaging data exchange: towards a large-scale evaluation of the intrinsic brain architecture in autism, Enhancing studies of the connectome in autism using the Autism Brain Imaging Data Exchange II, Autism Brain Imaging Data Exchange, Neural signatures of autism spectrum disorders: insights into brain network dynamics, Reduced modulation of thalamocortical connectivity during exposure to sensory stimuli in ASD, Multisite, multimodal neuroimaging of chronic urological pelvic pain: Methodology of the MAPP Research Network, Convergent evidence of brain overconnectivity in children with autism?, Autism-associated promoter variant in MET impacts functional and structural brain networks, Neuroimaging of brain networks and function"
"34.0673111,-118.4448319","The smarter, the stronger: intelligence level correlates with brain resilience to systematic insults, Multisite, multimodal neuroimaging of chronic urological pelvic pain: Methodology of the MAPP Research Network"
"34.068066,-118.4431829","Non-negative matrix factorization of multimodal MRI, fMRI and phenotypic data reveals differential changes in default mode subnetworks in ADHD"
"34.0687998,-118.4440276","Multisite, multimodal neuroimaging of chronic urological pelvic pain: Methodology of the MAPP Research Network"
"34.068921,-118.4451811","Reduced modulation of thalamocortical connectivity during exposure to sensory stimuli in ASD, The autism brain imaging data exchange: towards a large-scale evaluation of the intrinsic brain architecture in autism, The UCLA multimodal connectivity database: a web-based platform for brain connectivity matrix sharing and analysis, Non-negative matrix factorization of multimodal MRI, fMRI and phenotypic data reveals differential changes in default mode subnetworks in ADHD, Enhancing studies of the connectome in autism using the Autism Brain Imaging Data Exchange II, Neural signatures of autism spectrum disorders: insights into brain network dynamics, Autism Brain Imaging Data Exchange, Dynamic change of global and local information processing in propofol-induced loss and recovery of consciousness"
"34.0696459,-118.4412391","Neural signatures of autism spectrum disorders: insights into brain network dynamics, Non-negative matrix factorization of multimodal MRI, fMRI and phenotypic data reveals differential changes in default mode subnetworks in ADHD, The function biomedical informatics research network data repository"
"34.070001,134.559832",Autism spectrum disorder and the cerebellum
"34.07291379999999,-118.4384435",Why share data? Lessons learned from the fMRIDC
"34.0753428,-118.3803672","Neural connectivity evidence for a categorical-dimensional hybrid model of autism spectrum disorder, Reveal Consistent Spatial-Temporal Patterns from Dynamic Functional Connectivity for Autism Spectrum Disorder Identification, Emergence of a hierarchical brain during infancy reflected by stepwise functional connectivity"
"34.0979439,-118.2909295",Default mode connectivity in youth with perinatally acquired HIV
"34.1039348,-117.7102128",Psychosocial versus physiological stress—Meta-analyses on deactivations and activations of the neural correlates of stress reactions
"34.1233959,108.8359416","Genetic contribution of catechol‐O‐methyltransferase in hippocampal structural and functional changes of female migraine sufferers, Frequency-dependent modulation of regional synchrony in the human brain by eyes open and eyes closed resting-states, Intrinsic brain subsystem associated with dietary restraint, disinhibition and hunger: an fMRI study, Neural, electrophysiological and anatomical basis of brain-network variability and its characteristic changes in mental disorders, Frequency dependent topological patterns of resting-state brain networks, Frequency specificity of regional homogeneity in the resting-state human brain, Altered resting state functional connectivity of anterior insula in young smokers, Altered structure and resting-state functional connectivity of the basal ganglia in migraine patients without aura"
"34.1376576,-118.125269","Largely typical patterns of resting-state functional connectivity in high-functioning adults with autism, The social brain in psychiatric and neurological disorders, The autism brain imaging data exchange: towards a large-scale evaluation of the intrinsic brain architecture in autism, Brain connectivity in autism: the significance of null findings"
"34.1383334,-118.1251604","Largely typical patterns of resting-state functional connectivity in high-functioning adults with autism, The autism brain imaging data exchange: towards a large-scale evaluation of the intrinsic brain architecture in autism, Brain connectivity in autism: the significance of null findings, Building a science of individual differences from fMRI"
"34.1483596,-118.4324742","Multisite, multimodal neuroimaging of chronic urological pelvic pain: Methodology of the MAPP Research Network"
"34.157596,108.893408",Connectome-scale group-wise consistent resting-state network analysis in autism spectrum disorder
"34.193435,-118.587893",Human neuroimaging as a “Big Data” science
"34.2025249,134.6047086",Autism spectrum disorder and the cerebellum
"34.2046723,-118.2158673","Brainhack: a collaborative workshop for the open neuroscience community, Brainhack: a collaborative workshop for the open neuroscience community"
"34.2070999,108.9733575",Abnormal structure and functional connectivity of the anterior insula at pain-free periovulation is associated with perceived pain during menstruation
"34.22494,-77.87012659999999","The NKI-Rockland sample: a model for accelerating the pace of discovery science in psychiatry, Relationship of Trauma Symptoms to Amygdala‐Based Functional Brain Changes in Adolescents"
"34.229255,108.947395",Altered resting state functional connectivity of anterior insula in young smokers
"34.230085,108.915178",Abnormal structure and functional connectivity of the anterior insula at pain-free periovulation is associated with perceived pain during menstruation
"34.2436153,108.9137925","Signal sampling for efficient sparse representation of resting state FMRI data, HAFNI-enabled largescale platform for neuroimaging informatics (HELPNI), Connectome-scale group-wise consistent resting-state network analysis in autism spectrum disorder"
"34.250575,108.98371","Spectral properties of the temporal evolution of brain network structure, Extreme learning machine-based classification of ADHD using brain structural MRI data, Random matrix theory for analyzing the brain functional network in attention deficit hyperactivity disorder, Global and local brain network reorganization in attention-deficit/hyperactivity disorder"
"34.29014000000001,108.074758","Intrinsic brain subsystem associated with dietary restraint, disinhibition and hunger: an fMRI study"
"34.2926276,134.1235806",Altered Cortical Dynamics and Cognitive Function upon Haploinsufficiency of the Autism-Linked Excitatory Synaptic Suppressor MDGA2
"34.3254349,134.1896977",Altered Cortical Dynamics and Cognitive Function upon Haploinsufficiency of the Autism-Linked Excitatory Synaptic Suppressor MDGA2
"34.341574,108.93977",Extreme learning machine-based classification of ADHD using brain structural MRI data
"34.3647324,-89.538443","Caudate-Precuneus functional connectivity is associated with obesity preventive eating tendency, Antipsychotic treatment and functional connectivity of the striatum in first-episode schizophrenia, Abnormal resting state fMRI activity predicts processing speed deficits in first-episode psychosis"
"34.3806538,132.4786685",A small number of abnormal brain connections predicts adult autism spectrum disorder
"34.381105,108.978476",Spectral properties of the temporal evolution of brain network structure
"34.4120059,-119.8446098","NeuroImage: Clinical, NeuroImage: Clinical, NeuroImage: Clinical, NeuroImage: Clinical"
"34.504104,135.793206",Q&A: What is the Open Connectome Project?
"34.5905808,135.5050308",Frequency-specific network topologies in the resting human brain
"34.6578497,135.2149167",Altered Cortical Dynamics and Cognitive Function upon Haploinsufficiency of the Autism-Linked Excitatory Synaptic Suppressor MDGA2
"34.7436869,135.7662266",Altered functional organization within the insular cortex in adult males with high-functioning autism spectrum disorder: evidence from connectivity-based  …
"34.7437966,135.7665852",A small number of abnormal brain connections predicts adult autism spectrum disorder
"34.7475233,-92.31916199999999",Estimating brain network activity through back-projection of ICA components to GLM maps
"34.74855300000001,-92.31996889999999","National Database for Autism Research (NDAR): Big data opportunities for health services research and health technology assessment, Entorhinal Cortex Thickness across the Human Lifespan"
"34.7486563,-92.3542193",National Database for Autism Research (NDAR): Big data opportunities for health services research and health technology assessment
"34.752941,113.644854","Brain Structural Differences between Normal and Obese Adults and their Links with Lack of Perseverance, Negative Urgency, and Sensation Seeking"
"34.76338,113.700907",Capturing amplitude changes of low-frequency fluctuations in functional magnetic resonance imaging signal: a pilot acupuncture study on NeiGuan (PC6)
"34.8171144,135.5283929",New human-specific brain landmark: the depth asymmetry of superior temporal sulcus
"34.8220139,135.5244676",The visual white matter: The application of diffusion MRI and fiber tractography to vision science
"34.851811,135.625421",Q&A: What is the Open Connectome Project?
"34.8551947,-82.3233147",Isolated assessment of translation or rotation severely underestimates the effects of subject motion in FMRI data
"34.9497566,137.165383",Frequency-specific network topologies in the resting human brain
"34.981738,135.692767",Q&A: What is the Open Connectome Project?
"35.0116363,135.7680294","Alterations of local spontaneous brain activity and connectivity in adults with high-functioning autism spectrum disorder, Computational neuroscience approach to biomarkers and treatments for mental disorders"
"35.0197745,135.7776757",A small number of abnormal brain connections predicts adult autism spectrum disorder
"35.0556544,-81.6497898",A database of age-appropriate average MRI templates
"35.08312799999999,-106.624559","Dynamic functional network connectivity reveals unique and overlapping profiles of insula subdivisions, Deep neural network with weight sparsity control and pre-training extracts hierarchical features and enhances classification performance: Evidence from whole-brain  …, The real-time fMRI neurofeedback based stratification of Default Network Regulation Neuroimaging data repository, COINS Data Exchange: An open platform for compiling, curating, and disseminating neuroimaging data, COINSTAC: a privacy enabled model and prototype for leveraging and processing decentralized brain imaging data"
"35.0843187,-106.6197812","A robust classifier to distinguish noise from fMRI independent components, Single subject prediction of brain disorders in neuroimaging: Promises and pitfalls, A Tool for Interactive Data Visualization: Application to Over 10,000 Brain Imaging and Phantom MRI Data Sets, The function biomedical informatics research network data repository, Automated collection of imaging and phenotypic data to centralized and distributed data repositories"
"35.0949568,-106.6213106","Single subject prediction of brain disorders in neuroimaging: Promises and pitfalls, Dynamic functional network connectivity reveals unique and overlapping profiles of insula subdivisions, A Tool for Interactive Data Visualization: Application to Over 10,000 Brain Imaging and Phantom MRI Data Sets, An open science resource for establishing reliability and reproducibility in functional connectomics, Deep neural network with weight sparsity control and pre-training extracts hierarchical features and enhances classification performance: Evidence from whole-brain  …, The real-time fMRI neurofeedback based stratification of Default Network Regulation Neuroimaging data repository, COINS Data Exchange: An open platform for compiling, curating, and disseminating neuroimaging data, The cognitive paradigm ontology: design and application, Automated collection of imaging and phenotypic data to centralized and distributed data repositories, A robust classifier to distinguish noise from fMRI independent components, Corrigendum: Harnessing modern web application technology to create intuitive and efficient data visualization and sharing tools, The function biomedical informatics research network data repository, Harnessing modern web application technology to create intuitive and efficient data visualization and sharing tools, COINSTAC: a privacy enabled model and prototype for leveraging and processing decentralized brain imaging data"
"35.153491,136.967573","Resting state functional magnetic resonance imaging and neural network classified autism and control, Frequency-specific network topologies in the resting human brain"
"35.1600014,33.37701750000001","Imaging sex/gender and autism in the brain: Etiological implications, Atypically rightward cerebral asymmetry in male adults with autism stratifies individuals with and without language delay, On the brain structure heterogeneity of autism: Parsing out acquisition site effects with significance‐weighted principal component analysis, Unsupervised data-driven stratification of mentalizing heterogeneity in autism"
"35.22726919999999,126.8407202",Multiclass classification for the differential diagnosis on the ADHD subtypes using recursive feature elimination and hierarchical extreme learning machine:  …
"35.2914869,113.9360533",Disrupted amplitude of low-frequency fluctuations in antipsychotic-naïve adolescents with early-onset schizophrenia
"35.33385,139.618239",Single pulse transcranial magnetic stimulation-electroencephalogram reveals no electrophysiological abnormality in adults with high-functioning autism spectrum  …
"35.4204326,139.5737125","Alterations of local spontaneous brain activity and connectivity in adults with high-functioning autism spectrum disorder, Altered functional organization within the insular cortex in adult males with high-functioning autism spectrum disorder: evidence from connectivity-based  …"
"35.4407279,139.314173",The singular nature of auditory and visual scene analysis in autism
"35.44080599999999,139.314098",The singular nature of auditory and visual scene analysis in autism
"35.4865462,133.0681164",Decreased functional connectivity by aging is associated with cognitive decline
"35.5138193,139.4841815",The singular nature of auditory and visual scene analysis in autism
"35.599865,139.549066",Q&A: What is the Open Connectome Project?
"35.6050574,140.1233063",Computational neuroscience approach to biomarkers and treatments for mental disorders
"35.617166,139.377033","A small number of abnormal brain connections predicts adult autism spectrum disorder, Alterations of local spontaneous brain activity and connectivity in adults with high-functioning autism spectrum disorder, Altered functional organization within the insular cortex in adult males with high-functioning autism spectrum disorder: evidence from connectivity-based  …, Frequency-specific network topologies in the resting human brain"
"35.6356096,140.1018341","A small number of abnormal brain connections predicts adult autism spectrum disorder, Superiority illusion arises from resting-state brain networks modulated by dopamine"
"35.644758,139.72563",Head motion and correction methods in resting-state functional MRI
"35.6489643,139.7429376",Q&A: What is the Open Connectome Project?
"35.653885,139.74249",Q&A: What is the Open Connectome Project?
"35.6697239,139.7272351",Q&A: What is the Open Connectome Project?
"35.6723312,139.5955702","Alterations of local spontaneous brain activity and connectivity in adults with high-functioning autism spectrum disorder, Altered functional organization within the insular cortex in adult males with high-functioning autism spectrum disorder: evidence from connectivity-based  …"
"35.6724007,139.5956063","A small number of abnormal brain connections predicts adult autism spectrum disorder, The singular nature of auditory and visual scene analysis in autism"
"35.6893252,139.7430599",Clinical and neural effects of six-week administration of oxytocin on core symptoms of autism
"35.7092175,139.7625551","A small number of abnormal brain connections predicts adult autism spectrum disorder, Clinical and neural effects of six-week administration of oxytocin on core symptoms of autism"
"35.709224,139.6595276",Q&A: What is the Open Connectome Project?
"35.7126775,139.761989","A small number of abnormal brain connections predicts adult autism spectrum disorder, Computational neuroscience approach to biomarkers and treatments for mental disorders, LTD-like molecular pathways in developmental synaptic pruning, Caudate-Precuneus functional connectivity is associated with obesity preventive eating tendency, Altered functional organization within the insular cortex in adult males with high-functioning autism spectrum disorder: evidence from connectivity-based  …, Frequency-specific network topologies in the resting human brain"
"35.7129627,139.7610659",A small number of abnormal brain connections predicts adult autism spectrum disorder
"35.7249329,51.3863182",Subspace-based identification algorithm for characterizing causal networks in resting brain
"35.7592746,139.7145029",Q&A: What is the Open Connectome Project?
"35.784799,-78.666752",Tensor regression with applications in neuroimaging data analysis
"35.7857,-78.6663902","Social-cognitive, physiological, and neural mechanisms, Social-cognitive, physiological, and neural mechanisms underlying emotion regulation impairments: Understanding anxiety in autism spectrum disorder"
"35.8468291,127.1293628",The function biomedical informatics research network data repository
"35.86166,104.195397","GRETNA: a graph theoretical network analysis toolbox for imaging connectomics, Down but not out in posterior cingulate cortex: Deactivation yet functional coupling with prefrontal cortex during demanding semantic cognition"
"35.8777241,139.7898984",Q&A: What is the Open Connectome Project?
"35.8914422,-79.0803154",Neural connectivity evidence for a categorical-dimensional hybrid model of autism spectrum disorder
"35.899327,-79.0728474",Emergence of a hierarchical brain during infancy reflected by stepwise functional connectivity
"35.9025392,-79.05401410000002",Neural connectivity evidence for a categorical-dimensional hybrid model of autism spectrum disorder
"35.9028786,-79.0552366",Altered mGluR5-Homer scaffolds and corticostriatal connectivity in a Shank3 complete knockout model of autism
"35.903323,-79.055058",Emergence of a hierarchical brain during infancy reflected by stepwise functional connectivity
"35.9036616,-79.0491703","Social-cognitive, physiological, and neural mechanisms, Emergence of a hierarchical brain during infancy reflected by stepwise functional connectivity, The function biomedical informatics research network data repository, Social-cognitive, physiological, and neural mechanisms underlying emotion regulation impairments: Understanding anxiety in autism spectrum disorder"
"35.9049122,-79.0469134","Hyper-connectivity of functional networks for brain disease diagnosis, Multi-task feature selection via supervised canonical graph matching for diagnosis of autism spectrum disorder, Diagnosis of Autism Spectrum Disorders Using Temporally Distinct Resting‐State Functional Connectivity Networks, Tensor regression with applications in neuroimaging data analysis, Reveal Consistent Spatial-Temporal Patterns from Dynamic Functional Connectivity for Autism Spectrum Disorder Identification, Spatially varying coefficient model for neuroimaging data with jump discontinuities, Neural connectivity evidence for a categorical-dimensional hybrid model of autism spectrum disorder, Network connectivity abnormality profile supports a categorical‐dimensional hybrid model of ADHD, Altered corpus callosum morphology associated with autism over the first 2 years of life, MRI-based intelligence quotient (IQ) estimation with sparse learning"
"35.9052623,-79.0509735",Feature fusion via hierarchical supervised local CCA for diagnosis of autism spectrum disorder
"35.9054724,-79.0525414","Big data, open science and the brain: lessons learned from genomics"
"35.9054736,-79.0525418","Somatosensory cortex functional connectivity abnormalities in autism show opposite trends, depending on direction and spatial scale"
"35.9057803,-79.0540572",The Changing Epidemiology of Autism Spectrum Disorders
"35.90600999999999,-79.0539057",Autism spectrum disorder and the cerebellum
"35.90613220000001,-79.0543584",A sparse reduced rank framework for group analysis of functional neuroimaging data
"35.9108025,-79.05130799999999",Bayesian spatial transformation models with applications in neuroimaging data
"35.9127554,-79.0494642",The function biomedical informatics research network data repository
"35.95765,-83.924949",A SCIENTIFIC VISION
"35.9991482,-78.9429929",A database of age-appropriate average MRI templates
"36.0014258,-78.9382286",Altered mGluR5-Homer scaffolds and corticostriatal connectivity in a Shank3 complete knockout model of autism
"36.002475,-78.9370563","Altered mGluR5-Homer scaffolds and corticostriatal connectivity in a Shank3 complete knockout model of autism, Impulsivity and the modular organization of resting-state neural networks"
"36.0030334,-78.937054","Brain connectivity and visual attention, The function biomedical informatics research network data repository"
"36.0034778,-78.9358103","High Dimensional Tests for Functional Networks of Brain Anatomic Regions, Monogenic mouse models of autism spectrum disorders: common mechanisms and missing links"
"36.0043228,-78.9359745",Unlearning chronic pain: a randomized controlled trial to investigate changes in intrinsic brain connectivity following cognitive behavioral therapy
"36.0053276,-78.9403567",Altered mGluR5-Homer scaffolds and corticostriatal connectivity in a Shank3 complete knockout model of autism
"36.0063736,-78.93545859999999",Altered mGluR5-Homer scaffolds and corticostriatal connectivity in a Shank3 complete knockout model of autism
"36.0069816,-78.937575","Traumatic brain injury imaging research roadmap, Altered mGluR5-Homer scaffolds and corticostriatal connectivity in a Shank3 complete knockout model of autism"
"36.0488808,103.8582244",Resting-State Time-Varying Analysis Reveals Aberrant Variations of Functional Connectivity in Autism
"36.058665,120.403637",Down but not out in posterior cingulate cortex: Deactivation yet functional coupling with prefrontal cortex during demanding semantic cognition
"36.0594309,103.7801179",Spectral properties of the temporal evolution of brain network structure
"36.0604173,103.81343",Resting-State Time-Varying Analysis Reveals Aberrant Variations of Functional Connectivity in Autism
