title	citation_count
Spatial nonuniformity of the resting CBF and BOLD responses to sevoflurane: in vivo study of normal human subjects with magnetic resonance imaging.	2
Dissociated emergent-response system and fine-processing system in human neural network and a heuristic neural architecture for autonomous humanoid robots.	13
Correlations and anticorrelations in resting-state functional connectivity MRI: a quantitative comparison of preprocessing strategies.	18
Correspondence between altered functional and structural connectivity in the contralesional sensorimotor cortex after unilateral stroke in rats: a combined resting-state functional MRI and manganese-enhanced MRI study.	6
Functional integration in schizophrenia: too little or too much? Preliminary results on fMRI data.	1
Functional connectivity in the resting brain: a network analysis of the default mode hypothesis.	12
Slow vasomotor fluctuation in fMRI of anesthetized child brain.	1
Negative edges and soft thresholding in complex network analysis of resting state functional connectivity data.	38
Characterizing dynamic functional connectivity in the resting brain using variable parameter regression and Kalman filtering approaches.	36
Analysis of EEG-fMRI data in focal epilepsy based on automated spike classification and Signal Space Projection.	0
Resting in peace or noise: scanner background noise suppresses default-mode network.	13
Graph-theory based parcellation of functional subunits in the brain from resting-state fMRI data.	24
Functional connectivity hubs in the human brain.	21
Mammillothalamic functional connectivity and memory function in Wernicke's encephalopathy.	6
Comparison of characteristics between region-and voxel-based network analyses in resting-state fMRI data.	10
Inter-individual differences in resting-state functional connectivity predict task-induced BOLD activity.	40
Reduced caudate volume and enhanced striatal-DMN integration in chess experts.	12
Intrinsic functional architecture in the anaesthetized monkey brain.	7
Effects of aging on default mode network activity in resting state fMRI: does the method of analysis matter?	16
Frontal theta EEG activity correlates negatively with the default mode network in resting state.	6
Consistent resting-state networks across healthy subjects.	22
Spontaneous low-frequency fluctuations in the BOLD signal in schizophrenic patients: Anomalies in the default network	13
Undirected thought: Neural determinants and correlates.	3
DPARSF: A MATLAB toolbox for "Pipeline" data analysis of resting state fMRI.	29
The impact of global signal regression on resting state correlations: are anti-correlated networks introduced?	20
The oscillating brain: complex and reliable.	50
Functional connectivity fMRI of the rodent brain: comparison of functional connectivity networks in rat and mouse.	30
Depression, rumination and the default network.	4
Breakdown in the brain network subserving moral judgment in criminal psychopathy.	5
Subcortical functional connectivity and verbal episodic memory in healthy elderly--a resting state fMRI study.	24
The non-separability of physiologic noise in functional connectivity MRI with spatial ICA at 3T.	11
TE-dependent spatial and spectral specificity of functional connectivity.	30
Intrinsic functional architecture predicts electrically evoked responses in the human brain.	24
Anatomical differences and network characteristics underlying smoking cue reactivity.	12
Differential age effects on cerebral blood flow and BOLD response to encoding: associations with cognition and stroke risk.	2
Orbitofrontal connectivity with resting-state networks is associated with midbrain dopamine D3 receptor availability.	18
Default Mode Network Activity and Connectivity in Psychopathology.	72
Bimanual passive movement: functional activation and inter-regional coupling.	9
Alteration of brain default network in subacute phase of injury in concussed individuals: Resting-state fMRI study.	16
Neuronal dysfunction and disconnection of cortical hubs in non-demented subjects with elevated amyloid burden.	15
Antidepressant effect on connectivity of the mood-regulating circuit: an FMRI study.	6
Medial prefrontal cortex and self-referential mental activity: relation to a default mode of brain function.	2
Neuronal networks in children with continuous spikes and waves during slow sleep.	7
Multimodal analysis of resting state cortical activity: what does fMRI add to our knowledge of microstates in resting state EEG activity? Commentary to the papers by Britz et al. and Musso et al. in the current issue of NeuroImage.	5
Brain resting state is disrupted in chronic back pain patients.	20
Reduced precuneus deactivation during object naming in patients with mild cognitive impairment, Alzheimer's disease, and frontotemporal lobar degeneration.	7
Fractionating the default mode network: distinct contributions of the ventral and dorsal posterior cingulate cortex to cognitive control.	11
Functional connectivity MRI in infants: exploration of the functional organization of the developing brain.	64
On the relationship between seed-based and ICA-based measures of functional connectivity.	18
Robust reproducible resting state networks in the awake rodent brain.	32
Cerebral blood flow and BOLD responses to a memory encoding task: a comparison between healthy young and elderly adults.	0
Understanding the Pathophysiology of Alzheimer's Disease and Mild Cognitive Impairment: A Mini Review on fMRI and ERP Studies.	25
BOLD and perfusion changes during epileptic generalised spike wave activity.	3
Functional connectivity-based identification of subdivisions of the basal ganglia and thalamus using multilevel independent component analysis of resting state fMRI.	26
Modulatory effects of acupuncture on resting-state networks: A functional MRI study combining independent component analysis and multivariate granger causality analysis.	8
Aberrant connectivity of resting-state networks in borderline personality disorder.	12
Stress-induced activation of the HPA axis predicts connectivity between subgenual cingulate and salience network during rest in adolescents.	9
Functional connectivity in fronto-subcortical circuitry during the resting state in obsessive-compulsive disorder.	7
Altered small-world brain functional networks in children with attention-deficit/hyperactivity disorder.	17
The intrinsic functional organization of the brain is altered in autism.	16
Central nervous system dysregulation extends beyond the pain-matrix network in cluster headache.	7
Reduced interhemispheric resting state functional connectivity in cocaine addiction.	24
Multimodal imaging of recovery of functional networks associated with reversal of paradoxical herniation after cranioplasty.	13
Task-induced deactivation of midline cortical regions in schizophrenia assessed with fMRI.	4
Spatially extended FMRI signal response to stimulus in non-functionally relevant regions of the human brain: preliminary results.	2
Brain imaging of the self--conceptual, anatomical and methodological issues.	6
How default is the default mode of brain function? Further evidence from intrinsic BOLD signal fluctuations.	13
Altered effective connectivity network of the amygdala in social anxiety disorder: a resting-state FMRI study.	21
Intrinsic brain connectivity in fibromyalgia is associated with chronic pain intensity.	21
Effect of prior cognitive state on resting state networks measured with functional connectivity.	6
A comparison of five fMRI protocols for mapping speech comprehension systems.	2
Functional connectivity of the posteromedial cortex.	33
Resting state activity in patients with disorders of consciousness.	25
Electroencephalographic signatures of attentional and cognitive default modes in spontaneous brain activity fluctuations at rest.	11
Retrosplenial cortex connectivity in schizophrenia.	14
Corticostriatal functional connectivity in non-medicated patients with obsessive-compulsive disorder.	11
Regional brain atrophy and functional disconnection across Alzheimer's disease evolution.	8
Acupuncture modulates spontaneous activities in the anticorrelated resting brain networks.	8
Distinct brain networks for adaptive and stable task control in humans.	15
MRI assessment of amplitude of low-frequency fluctuation in rat brains with acute cerebral ischemic stroke.	19
A method for evaluating dynamic functional network connectivity and task-modulation: application to schizophrenia.	10
Motor network degeneration in amyotrophic lateral sclerosis: a structural and functional connectivity study.	20
Enhanced resting-state brain activities in ADHD patients: a fMRI study.	9
Measuring brain connectivity: diffusion tensor imaging validates resting state temporal correlations.	15
Reduced interhemispheric functional connectivity in the motor cortex during rest in limb-onset amyotrophic lateral sclerosis.	18
Abnormal functional connectivity of default mode sub-networks in autism spectrum disorder patients.	23
Amygdalofrontal functional disconnectivity and aggression in schizophrenia.	19
Modulating spontaneous brain activity using repetitive transcranial magnetic stimulation.	14
Gender-related differences in functional connectivity in multiple sclerosis.	5
Altered connectivity pattern of hubs in default-mode network with Alzheimer's disease: an granger causality modeling approach.	25
Is the ADHD brain wired differently? A review on structural and functional connectivity in attention deficit hyperactivity disorder.	21
Resting-state functional connectivity in animal models: modulations by exsanguination.	4
Spontaneous brain activity and EEG microstates. A novel EEG/fMRI analysis approach to explore resting-state networks.	12
Physiological denoising of BOLD fMRI data using Regressor Interpolation at Progressive Time Delays (RIPTiDe) processing of concurrent fMRI and near-infrared spectroscopy (NIRS).	6
Brain network connectivity in individuals with schizophrenia and their siblings.	27
Spatial patterns of intrinsic brain activity in mild cognitive impairment and Alzheimer's disease: a resting-state functional MRI study.	31
Functional connectivity during resting-state functional MR imaging: Study of the correspondence between independent component analysis and region-of-interest-based methods.	19
Reduced resting-state functional connectivity between amygdala and orbitofrontal cortex in social anxiety disorder.	15
Enhanced cue reactivity and fronto-striatal functional connectivity in cocaine use disorders.	11
Multiple sclerosis: low-frequency temporal blood oxygen level-dependent fluctuations indicate reduced functional connectivity initial results.	2
Aberrant striatal functional connectivity in children with autism.	23
Fronto-temporal spontaneous resting state functional connectivity in pediatric bipolar disorder.	20
Impaired resting-state functional integrations within default mode network of generalized tonic-clonic seizures epilepsy.	19
Microstructural and functional connectivity in the developing preterm brain.	11
Resting-state neural activity across face-selective cortical regions Is behaviorally relevant.	11
Brain dynamics during natural viewing conditions--a new guide for mapping connectivity in vivo.	7
Functional connectivity networks are disrupted in left temporal lobe epilepsy.	9
Regional homogeneity of the resting-state brain activity correlates with individual intelligence.	12
Longitudinal changes of resting-state functional connectivity during motor recovery after stroke.	14
Defining functional areas in individual human brains using resting functional connectivity MRI.	25
The cortical rhythms of chronic back pain.	16
Altered gray matter morphometry and resting-state functional and structural connectivity in social anxiety disorder.	10
Radial correlation contrast--a functional connectivity MRI contrast to map changes in local neuronal communication.	6
Three systems of insular functional connectivity identified with cluster analysis.	18
Temporal clustering analysis: what does it tell us about the resting state of the brain?	21
Episodic memory retrieval, parietal cortex, and the default mode network: functional and topographic analyses.	11
Neuronal correlates of "free will" are associated with regional specialization in the human intrinsic/default network.	8
Spontaneous blood oxygenation level-dependent fMRI signal is modulated by behavioral state and correlates with evoked response in sensorimotor cortex: A 7.0-T fMRI study.	13
Nicotine enhances visuospatial attention by deactivating areas of the resting brain default network.	7
Resting-state fMRI can reliably map neural networks in children.	29
Altered resting-state functional connectivity patterns of anterior cingulate cortex in adolescents with attention deficit hyperactivity disorder.	5
Functional connectivity in mild traumatic brain injury.	15
Influence of functional connectivity and structural MRI measures on episodic memory.	9
Specifically progressive deficits of brain functional marker in amnestic type mild cognitive impairment.	33
Functional connectivity of human striatum: a resting state FMRI study.	15
Time-frequency dynamics of resting-state brain connectivity measured with fMRI.	43
Unbiased group-wise image registration: applications in brain fiber tract atlas construction and functional connectivity analysis.	1
Disrupted regional homogeneity in treatment-resistant depression: a resting-state fMRI study.	11
Advances and pitfalls in the analysis and interpretation of resting-state FMRI data.	89
Reorganizing the Intrinsic Functional Architecture of the Human Primary Motor Cortex during Rest with Non-Invasive Cortical Stimulation.	7
Altered corticostriatal functional connectivity in obsessive-compulsive disorder.	9
Sources of systematic bias in hypercapnia-calibrated functional MRI estimation of oxygen metabolism.	0
Long-term effects of motor training on resting-state networks and underlying brain structure.	11
The organization of the human cerebral cortex estimated by intrinsic functional connectivity.	25
Data-driven clustering reveals a fundamental subdivision of the human cortex into two global systems.	18
Resting-state functional connectivity in the human brain revealed with diffuse optical tomography.	17
Attenuated brain response to auditory word stimulation with sevoflurane: a functional magnetic resonance imaging study in humans.	2
Methods of the pharmacological imaging of the cannabinoid system (PhICS) study: towards understanding the role of the brain endocannabinoid system in human cognition.	1
L-dopa modulates functional connectivity in striatal cognitive and motor networks: a double-blind placebo-controlled study.	28
An anterior-to-posterior shift in midline cortical activity in schizophrenia during self-reflection.	8
The influence of carbon dioxide on brain activity and metabolism in conscious humans.	8
Functional connectivity in the rat at 11.7T: Impact of physiological noise in resting state fMRI.	16
Asymmetrical hippocampal connectivity in mesial temporal lobe epilepsy: evidence from resting state fMRI.	11
Brain activity at rest: a multiscale hierarchical functional organization.	9
Altered topological properties of functional network connectivity in schizophrenia during resting State: A small-world brain network study.	31
Altered amygdala resting-state functional connectivity in post-traumatic stress disorder.	12
The balance between feeling and knowing: affective and cognitive empathy are reflected in the brain's intrinsic functional dynamics.	16
Task-dependent organization of brain regions active during rest.	19
Abnormal small-world architecture of top-down control networks in obsessive-compulsive disorder.	18
Imaging of functional connectivity in the mouse brain.	26
Spontaneous brain activity in the default mode network is sensitive to different resting-state conditions with limited cognitive load.	34
A multiscale analysis of the temporal characteristics of resting-state fMRI data.	2
Network discovery with DCM.	8
Negative BOLD-fMRI signals in large cerebral veins.	10
Potential pitfall of reduced cerebral perfusion in clinical resting state functional MR imaging.	2
The Anatomical Distance of Functional Connections Predicts Brain Network Topology in Health and Schizophrenia.	13
Altered resting-state functional connectivity of thalamus in earthquake-induced posttraumatic stress disorder: A functional magnetic resonance imaging study.	13
Inter-hemispheric functional connectivity disruption in children with prenatal alcohol exposure.	15
Impaired attention network in temporal lobe epilepsy: a resting FMRI study.	14
Functional connectivity of the human rostral and caudal cingulate motor areas in the brain resting state at 3T.	1
Coherent spontaneous activity identifies a hippocampal-parietal memory network.	13
Frontal regional homogeneity increased and temporal regional homogeneity decreased after remission of first-episode drug-na\"{\i}ve major depressive disorder with panic disorder patients under duloxetine therapy for 6weeks.	7
Amyloid plaques disrupt resting state default mode network connectivity in cognitively normal elderly.	7
A selective review of simulated driving studies: Combining naturalistic and hybrid paradigms, analysis approaches, and future directions.	8
Regional variation in interhemispheric coordination of intrinsic hemodynamic fluctuations.	22
Mind wandering and attention during focused meditation: a fine-grained temporal analysis of fluctuating cognitive states.	7
Gray matter deficits and resting-state abnormalities in abstinent heroin-dependent individuals.	9
Anatomical and functional assemblies of brain BOLD oscillations.	21
Partitioning networks into clusters and residuals with average association.	0
Reliable intrinsic connectivity networks: test-retest evaluation using ICA and dual regression approach.	52
Slow EEG pattern predicts reduced intrinsic functional connectivity in the default mode network: an inter-subject analysis.	23
Support vector machine classification and characterization of age-related reorganization of functional brain networks.	15
A protocol for use of medetomidine anesthesia in rats for extended studies using task-induced BOLD contrast and resting-state functional connectivity.	11
Motor "dexterity"?: Evidence that left hemisphere lateralization of motor circuit connectivity is associated with better motor performance in children.	6
Resting state functional connectivity of the whole head with near-infrared spectroscopy.	22
Transient alcohol craving suppression by rTMS of dorsal anterior cingulate: an fMRI and LORETA EEG study.	1
Ongoing physiological processes in the cerebral cortex.	26
Distinct cerebellar contributions to intrinsic connectivity networks.	17
Fully exploratory network ICA (FENICA) on resting-state fMRI data.	28
Sex-related differences in amygdala functional connectivity during resting conditions.	0
Altered resting state networks in mild cognitive impairment and mild Alzheimer's disease: an fMRI study.	7
Neural correlates of the interactive relationship between memory deficits and depressive symptoms in nondemented elderly: resting fMRI study.	16
Altered intrinsic functional connectivity of anterior and posterior insula regions in high-functioning participants with autism spectrum disorder.	22
Modular Organization of Functional Network Connectivity in Healthy Controls and Patients with Schizophrenia during the Resting State.	24
Increased cortico-subcortical functional connectivity in schizophrenia.	0
Identification of MCI individuals using structural and functional connectivity networks.	4
Normal aging decreases regional homogeneity of the motor areas in the resting state.	8
Hyperactive putamen in patients with paroxysmal kinesigenic choreoathetosis: a resting-state functional magnetic resonance imaging study.	8
The selectivity and functional connectivity of the anterior temporal lobes.	2
Structural and functional hippocampal changes in multiple sclerosis patients with intact memory function.	5
Competition between functional brain networks mediates behavioral variability	20
Abnormal default-mode network in angiotensin converting enzyme D allele carriers with remitted geriatric depression.	11
Alterations of resting state functional connectivity in the default network in adolescents with autism spectrum disorders.	24
Motor pathway injury in patients with periventricular leucomalacia and spastic diplegia.	2
Endogenous cortisol is associated with functional connectivity between the amygdala and medial prefrontal cortex.	3
Intrinsic functional connectivity of the periaqueductal gray, a resting fMRI study.	18
Acupuncture modulates resting state connectivity in default and sensorimotor brain networks.	13
Premotor functional connectivity predicts impulsivity in juvenile offenders.	16
Long-term vascular access ports as a means of sedative administration in a rodent fMRI survival model.	4
Recency effects in the inferior parietal lobe during verbal recognition memory.	4
Functional brain imaging in 14 patients with dissociative amnesia reveals right inferolateral prefrontal hypometabolism.	0
Self-similar correlation function in brain resting-state functional magnetic resonance imaging.	17
Functional anatomy of cortical areas characterized by Von Economo neurons.	15
Regional homogeneity changes in patients with neuromyelitis optica revealed by resting-state functional MRI.	6
Abnormal baseline brain activity in posttraumatic stress disorder: a resting-state functional magnetic resonance imaging study.	7
The relationship within and between the extrinsic and intrinsic systems indicated by resting state correlational patterns of sensory cortices.	14
Characterization of neuromagnetic brain rhythms over time scales of minutes using spatial independent component analysis.	8
EEG microstate sequences in healthy humans at rest reveal scale-free dynamics.	10
Effects of model-based physiological noise correction on default mode network anti-correlations and correlations.	23
Eyes open and eyes closed as rest conditions: impact on brain activation patterns.	1
Modulation of steady state functional connectivity in the default mode and working memory networks by cognitive load.	24
Disrupted small-world networks in schizophrenia.	16
Resting state basal ganglia network in idiopathic generalized epilepsy.	18
Spontaneous low-frequency blood oxygenation level-dependent fluctuations and functional connectivity analysis of the 'resting' brain.	57
Intrinsic functional connectivity as a tool for human connectomics: theory, properties, and optimization.	92
Spontaneous low-frequency BOLD signal fluctuations: an fMRI investigation of the resting-state default mode of brain function hypothesis.	8
Default mode of brain function in monkeys.	7
Spatiotemporal dynamics of low frequency fluctuations in BOLD fMRI of the rat.	27
Localization of cerebral functional deficits in patients with obsessive-compulsive disorder: A resting-state fMRI study.	16
Robust Feature Selection in Resting-State fMRI Connectivity Based on Population Studies.	10
Task demand modulation of steady-state functional connectivity to primary motor cortex.	11
Research progress on resting state fMRI of epilepsy.	11
Can resting-state functional MRI serve as a complement to task-based mapping of sensorimotor function? A test-retest reliability study in healthy volunteers.	18
fMRI differences between early and late stage-1 sleep.	6
Integrating functional and diffusion magnetic resonance imaging for analysis of structure-function relationship in the human language network.	15
MRI magnetic field stimulates rotational sensors of the brain.	0
Regional homogeneity, functional connectivity and imaging markers of Alzheimer's disease: a review of resting-state fMRI studies.	39
Functional dysconnectivity of the dorsolateral prefrontal cortex in first-episode schizophrenia using resting-state fMRI.	10
"Thinking about not-thinking": neural correlates of conceptual processing during Zen meditation.	13
Pharmacological modulation of functional connectivity: $\alpha$(2)-adrenergic receptor agonist alters synchrony but not neural activation.	29
Spatio-temporal characteristics of low-frequency BOLD signal fluctuations in isoflurane-anesthetized rat brain.	8
Neural correlates of a single-session massage treatment.	14
Default-mode and task-positive network activity in major depressive disorder: implications for adaptive and maladaptive rumination.	4
Functional connectivity for somatosensory and motor cortex in spastic diplegia.	17
Functional connectivity of the frontal eye fields in humans and macaque monkeys investigated with resting-state fMRI.	18
Alterations of the amplitude of low-frequency fluctuations in treatment-resistant and treatment-response depression: A resting-state fMRI study.	32
Hyperactivity and hyperconnectivity of the default network in schizophrenia and in first-degree relatives of persons with schizophrenia.	11
Emotional faces and the default mode network.	10
Hypnotic induction decreases anterior default mode activity.	3
The influence of rest period instructions on the default mode network.	28
Anticorrelations in resting state networks without global signal regression.	29
Resting-state functional connectivity indexes reading competence in children and adults.	16
A combined neuropsychological and brain imaging study of obstructive sleep apnea.	2
Growing together and growing apart: regional and sex differences in the lifespan developmental trajectories of functional homotopy.	31
Genetic modulation of neural response during working memory in healthy individuals: interaction of glucocorticoid receptor and dopaminergic genes.	4
The effect of sensorimotor activation on functional connectivity mapping with MRI.	7
Interpreting functional imaging studies in terms of neurotransmitter cycling.	1
Beyond superior temporal cortex: intersubject correlations in narrative speech comprehension.	3
Oxidative glucose metabolism in rat brain during single forepaw stimulation: a spatially localized 1H[13C] nuclear magnetic resonance study.	0
Setting the frame: the human brain activates a basic low-frequency network for language processing.	12
Weight-conserving characterization of complex functional brain networks.	12
Spatiotemporal nonlinearity in resting-state fMRI of the human brain.	10
Deactivation of the default mode network as a marker of impaired consciousness: an FMRI study.	18
Spontaneous activity associated with primary visual cortex: a resting-state FMRI study.	8
Separating respiratory-variation-related fluctuations from neuronal-activity-related fluctuations in fMRI.	6
Breakdown of within- and between-network resting state functional magnetic resonance imaging connectivity during propofol-induced loss of consciousness.	23
EEG-vigilance and BOLD effect during simultaneous EEG/fMRI measurement.	16
Variable global dysconnectivity and individual differences in schizophrenia.	9
Identification of hyperactive intrinsic amygdala network connectivity associated with impulsivity in abstinent heroin addicts.	11
An energy budget for the olfactory glomerulus.	0
Functional network disruption in the degenerative dementias.	36
Distributed changes in default-mode resting-state connectivity in multiple sclerosis.	16
Resting state functional connectivity within the cingulate cortex jointly predicts agreeableness and stressor-evoked cardiovascular reactivity.	12
A method for functional network connectivity among spatially independent resting-state components in schizophrenia.	18
Disrupted thalamocortical connectivity in PSP: A resting-state fMRI, DTI, and VBM study.	8
Evidence for a frontoparietal control system revealed by intrinsic functional connectivity.	23
Functional connectivity of the amygdala in early-childhood-onset depression.	9
Extra-visual functional and structural connection abnormalities in Leber's hereditary optic neuropathy.	7
Task-induced deactivation from rest extends beyond the default mode brain network.	18
Altered functional connectivity of primary visual cortex in early blindness.	13
Age and cholinergic effects on hemodynamics and functional coherence of human hippocampus.	4
Dynamic changes in brain activations and functional connectivity during affectively different tactile stimuli.	1
Small-world and scale-free organization of voxel-based resting-state functional connectivity in the human brain.	20
Energetic basis of brain activity: implications for neuroimaging.	2
Chronic and treatment-resistant depression: a study using arterial spin labeling perfusion MRI at 3Tesla.	1
Brain spontaneous functional connectivity and intelligence.	11
Predicting BOLD signal changes as a function of blood volume fraction and resolution.	0
Neural basis of global resting-state fMRI activity.	28
Changes in hippocampal connectivity in the early stages of Alzheimer's disease: evidence from resting state fMRI.	10
Functionally linked resting-state networks reflect the underlying structural connectivity architecture of the human brain.	33
Multi-level bootstrap analysis of stable clusters in resting-state fMRI.	24
Decreased basal fMRI functional connectivity in epileptogenic networks and contralateral compensatory mechanisms.	7
Investigating neural primacy in Major Depressive Disorder: multivariate Granger causality analysis of resting-state fMRI time-series data.	5
Widespread functional connectivity and fMRI fluctuations in human visual cortex in the absence of visual stimulation.	10
Default network connectivity reflects the level of consciousness in non-communicative brain-damaged patients.	25
Large-amplitude, spatially correlated fluctuations in BOLD fMRI signals during extended rest and early sleep stages.	12
Emerging concepts for the dynamical organization of resting-state activity in the brain.	21
Amplitude of low frequency fluctuation within visual areas revealed by resting-state functional MRI.	17
Functional connectivity of the temporo-parietal region in schizophrenia: effects of rTMS treatment of auditory hallucinations.	11
Regional homogeneity of resting state fMRI signals predicts Stop signal task performance.	24
Mapping resting-state functional connectivity using perfusion MRI.	17
Default mode network dysfunction in adults with prenatal alcohol exposure.	19
Mapping functional connectivity based on synchronized CMRO2 fluctuations during the resting state.	20
A new approach to estimating the signal dimension of concatenated resting-state functional MRI data sets.	12
Altered functional connectivity between the insula and the cingulate cortex in patients with Temporomandibular Disorder: A pilot study.	3
Loss of resting interhemispheric functional connectivity after complete section of the corpus callosum.	13
Nicotine replacement in abstinent smokers improves cognitive withdrawal symptoms with modulation of resting brain network dynamics.	25
Segregated fronto-cerebellar circuits revealed by intrinsic functional connectivity.	21
Endogenous brain oscillations and related networks detected by surface EEG-combined fMRI.	11
Sustained activity within the default mode network during an implicit memory task.	10
Functional connectivity in cortical regions in dementia with Lewy bodies and Alzheimer's disease.	21
Extracting information from functional connectivity maps via function-on-scalar regression.	19
White matter cerebral blood flow is inversely correlated with structural and functional connectivity in the human brain.	10
Functional MRI connectivity as a predictor of the surgical outcome of epilepsy.	12
Low-frequency fluctuations in the cardiac rate as a source of variance in the resting-state fMRI BOLD signal.	12
Interaction between dysfunctional connectivity at rest and heroin cues-induced brain responses in male abstinent heroin-dependent individuals.	21
Aging-related changes in the default mode network and its anti-correlated networks: A resting-state fMRI study.	18
Depression recognition using resting-state and event-related fMRI signals.	5
Resting state fMRI reveals increased subthalamic nucleus-motor cortex connectivity in Parkinson's disease.	14
EEG-BOLD correlations during (post-)adolescent brain maturation.	18
A software tool for interactive exploration of intrinsic functional connectivity opens new perspectives for brain surgery.	16
The temporal-spatial encoding of acupuncture effects in the brain.	16
Tissue specificity of nonlinear dynamics in baseline fMRI.	4
Fisher discriminative analysis of resting-state brain function for attention-deficit/hyperactivity disorder.	9
Resting-state FMRI and developmental systems neuroscience.	13
Neuroimaging of cortical development and brain connectivity in human newborns and animal models.	5
Cortical and thalamic resting-state functional connectivity is altered in childhood absence epilepsy.	14
Resting oscillations and cross-frequency coupling in the human posteromedial cortex.	4
Increased functional connectivity indicates the severity of cognitive impairment in multiple sclerosis.	19
Integration of structural and functional magnetic resonance imaging in amyotrophic lateral sclerosis.	6
Resting-state functional connectivity differences in premature children.	23
Alcohol increases spontaneous BOLD signal fluctuations in the visual network.	20
Association of cerebral deficits with clinical symptoms in antipsychotic-naive first-episode schizophrenia: an optimized voxel-based morphometry and resting state functional connectivity study.	5
Hierarchical clustering to measure connectivity in fMRI resting-state data.	3
Regional homogeneity changes in heroin-dependent individuals: resting-state functional MR imaging study.	9
Changes in functional connectivity of ventral anterior cingulate cortex in heroin abusers.	6
Uncovering intrinsic modular organization of spontaneous brain activity in humans.	30
Social fearfulness in the human brain.	5
When less is more: TPJ and default network deactivation during encoding predicts working memory performance.	8
Schizophrenic patients and their unaffected siblings share increased resting-state connectivity in the task-negative network but not Its anticorrelated task-positive network.	18
Spontaneous brain activity in the newborn brain during natural sleep--an fMRI study in infants born at full term.	26
Overall brain connectivity maps show cortico-subcortical abnormalities in schizophrenia.	16
Involvement of glutamate in rest-stimulus interaction between perigenual and supragenual anterior cingulate cortex: A combined fMRI-MRS study.	11
Default-mode-like network activation in awake rodents.	19
A resilient, low-frequency, small-world human brain functional network with highly connected association cortical hubs.	6
Utility of functional MRI in pediatric neurology.	10
State-dependent functional connectivity of rat olfactory system assessed by fMRI.	7
Components of variance in a multicentre functional MRI study and implications for calculation of statistical power.	2
Neural basis of the association between depressive symptoms and memory deficits in nondemented subjects: resting-state fMRI study.	18
Abnormal regional spontaneous neural activity in treatment-refractory depression revealed by resting-state fMRI.	11
Increased default mode network connectivity associated with meditation.	3
FMRI connectivity analysis of acupuncture effects on an amygdala-associated brain network.	7
Determining significant connectivity by 4D spatiotemporal wavelet packet resampling of functional neuroimaging data.	6
Altered resting state attentional networks in diabetic neuropathic pain.	11
Sleep deprivation reduces default mode network connectivity and anti-correlation during rest and task performance.	16
Impact of transient emotions on functional connectivity during subsequent resting state: a wavelet correlation approach.	16
Frontal-to-parietal top-down causal streams along the dorsal attention network exclusively mediate voluntary orienting of attention.	3
The maturing architecture of the brain's default network.	20
The effect of model order selection in group PICA.	14
Effects of non-local diffusion on structural MRI preprocessing and default network mapping: statistical comparisons with isotropic/anisotropic diffusion.	8
Detecting low-frequency functional connectivity in fMRI using a self-organizing map (SOM) algorithm.	6
Altered spontaneous neuronal activity of the default-mode network in mesial temporal lobe epilepsy.	18
Increased regional homogeneity in internet addiction disorder: a resting state functional magnetic resonance imaging study.	6
Mapping sources of correlation in resting state FMRI, with artifact detection and removal.	16
Task-related effects on the temporal and spatial dynamics of resting-state functional connectivity in the default network.	34
An improved approach to detection of amplitude of low-frequency fluctuation (ALFF) for resting-state fMRI: fractional ALFF.	25
Default network activity, coupled with the frontoparietal control network, supports goal-directed cognition.	14
Self-face recognition activates a frontoparietal "mirror" network in the right hemisphere: an event-related fMRI study.	4
Increasing measurement accuracy of age-related BOLD signal change: minimizing vascular contributions by resting-state-fluctuation-of-amplitude scaling.	3
Altered spontaneous activity in Alzheimer's disease and mild cognitive impairment revealed by Regional Homogeneity.	24
Default-mode network activity distinguishes Alzheimer's disease from healthy aging: evidence from functional MRI.	8
A method for using blocked and event-related fMRI data to study "resting state" functional connectivity.	17
Topographic electrophysiological signatures of FMRI Resting State Networks.	22
Identification of large-scale networks in the brain using fMRI.	7
Adolescent resting state networks and their associations with schizotypal trait expression.	26
High-field MRI reveals an acute impact on brain function in survivors of the magnitude 8.0 earthquake in China.	16
Abnormal neural activity in the patients with remitted geriatric depression: a resting-state functional magnetic resonance imaging study.	4
GABA concentrations in the human anterior cingulate cortex predict negative BOLD responses in fMRI.	5
Interhemispheric neuroplasticity following limb deafferentation detected by resting-state functional connectivity magnetic resonance imaging (fcMRI) and functional magnetic resonance imaging (fMRI).	21
I remember you: A role for memory in social cognition and the functional neuroanatomy of their interaction.	6
Cortico-striatal connectivity and cognition in normal aging: a combined DTI and resting state fMRI study.	14
Analysis of functional networks involved in motor execution and motor imagery using combined hierarchical clustering analysis and independent component analysis.	13
Enhanced resting-state connectivity of amygdala in the immediate aftermath of acute psychological stress.	1
Altered engagement of attention and default networks during target detection in schizophrenia.	7
Whole brain functional connectivity in the early blind.	9
Pseudo-continuous transfer insensitive labeling technique.	0
Resting-state fMRI changes in Alzheimer's disease and mild cognitive impairment.	26
Efficiency and cost of economical brain functional networks.	11
The default mode network integrity in patients with Parkinson's disease is levodopa equivalent dose-dependent.	15
Functional brain networks in schizophrenia: a review.	36
Network homogeneity reveals decreased integrity of default-mode network in ADHD.	15
Addiction related alteration in resting-state brain connectivity.	21
Intrinsic connectivity between the hippocampus and posteromedial cortex predicts memory performance in cognitively intact older individuals.	18
Detecting overlapped functional clusters in resting state fMRI with Connected Iterative Scan: a graph theory based clustering algorithm.	21
