index,Title,URL,Year,Citations,Versions,Cluster ID,PDF link,Citations list,Versions list,Citation link,Excerpt,Journal,Authors,Publisher,CPY,PMCIDS,Full,Excerpts
265,False positive rates in Voxel-based Morphometry studies of the human brain: Should we be worried?,http://www.sciencedirect.com/science/article/pii/S0149763415000536,2015.0,18,8,7089223016318052470,,"http://scholar.google.com/scholar?cites=7089223016318052470&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=7089223016318052470&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:digp5cX6YWIJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJFG1Pvgue3rmeWUxR4Znx4RPuvlfe&scisf=4&ct=citation&cd=469&hl=en,"... 2. Methods. 2.1. Subjects. Data from the Neuroimaging Informatics Tools andResources Clearinghouse (NITRC) which are available at http://fcon_1000.projects.nitrc.org/fcpClassic/FcpTable.html were used (Biswal et al., 2010). ...",Neuroscience \& Biobehavioral Reviews,"Scarpazza, Cristina & Tognin, Stefania & Frisciata, Silvia & Sartori, Giuseppe & Mechelli, Andrea",Elsevier,6.0,25701614,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=25701614&cmd=prlinks&retmode=ref,['N/A']
266,Motion and morphometry in clinical and nonclinical populations,http://www.sciencedirect.com/science/article/pii/S1053811916301197,2016.0,12,6,9420910864187503844,,"http://scholar.google.com/scholar?cites=9420910864187503844&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=9420910864187503844&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:5LSDUITMvYIJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMIzRgzRkiEf0FG8OtnVcJAUlmWRIm6&scisf=4&ct=citation&cd=76&hl=en,"... MRI data was obtained from the ABIDE, ADHD-200, COBRE databases respectively ... of subjectswith ASD and healthy controls from the Autism Brain Imaging Data Exchange (ABIDE) database ...study can be found at the ABIDE website (http://fcon_1000.projects.nitrc.org/indi/abide ...",Neuroimage,"Pardoe, Heath R & Hiess, Rebecca Kucharsky & Kuzniecky, Ruben",Elsevier,6.0,27153982,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=27153982&cmd=prlinks&retmode=ref,['N/A']
267,Functional hierarchy underlies preferential connectivity disturbances in schizophrenia,http://www.pnas.org/content/113/2/E219.short,2016.0,12,8,14146197657022790127,,"http://scholar.google.com/scholar?cites=14146197657022790127&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=14146197657022790127&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:73lOvdFjUcQJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJSWNkwDoDRwz1b-WlcaSf3y1lLxlO&scisf=4&ct=citation&cd=761&hl=en,,Proceedings of the National Academy of Sciences,"Yang, Genevieve J & Murray, John D & Wang, Xiao-Jing & Glahn, David C & Pearlson, Godfrey D & Repovs, Grega & Krystal, John H & Anticevic, Alan",National Acad Sciences,6.0,26699491,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=26699491&cmd=prlinks&retmode=ref,['fcon_1000.projects.nitrc.org/indi/retro/cobre.html']
268,The effect of gender on the neuroanatomy of children with autism spectrum disorders: a support vector machine case-control study,http://scholar.google.com/https://molecularautism.biomedcentral.com/articles/10.1186/s13229-015-0067-3,2016.0,12,16,17061455255057409686,,"http://scholar.google.com/scholar?cites=17061455255057409686&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=17061455255057409686&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:librtCh3xuwJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJV49x21ZN5bVIpY40xMlQk5-9xLKY&scisf=4&ct=citation&cd=842&hl=en,Skip to main content. Advertisement. Biomed Central ...,Molecular autism,"Retico, Alessandra & Giuliano, Alessia & Tancredi, Raffaella & Cosenza, Angela & Apicella, Fabio & Narzisi, Antonio & Biagi, Laura & Tosetti, Michela & Muratori, Filippo & Calderoni, Sara",BioMed Central,6.0,26788282,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=26788282&cmd=prlinks&retmode=ref,[]
269,Psychosocial versus physiological stress—Meta-analyses on deactivations and activations of the neural correlates of stress reactions,http://www.sciencedirect.com/science/article/pii/S1053811915005649,2015.0,18,8,11679549172636210364,,"http://scholar.google.com/scholar?cites=11679549172636210364&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=11679549172636210364&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:vFSwcxcYFqIJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMI6YCl6FHmhwEzwdpIOxvTMH8N7OJV&scisf=4&ct=citation&cd=220&hl=en,Stress is present in everyday life in various forms and situations. Two stressors frequentlyinvestigated are physiological and psychosocial stress. Besides sim.,Neuroimage,"Kogler, Lydia & M{\""u}ller, Veronika I & Chang, Amy & Eickhoff, Simon B & Fox, Peter T & Gur, Ruben C & Derntl, Birgit",Elsevier,6.0,26123376,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=26123376&cmd=prlinks&retmode=ref,['N/A']
270,Making data sharing count: a publication-based solution,http://journal.frontiersin.org/article/10.3389/fnins.2013.00009/abstract,2013.0,30,17,9315355525077590061,,"http://scholar.google.com/scholar?cites=9315355525077590061&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=9315355525077590061&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:LeC4xH7KRoEJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYVKpT3TNxHDMfTfv2qNtwx1QOPAYT&scisf=4&ct=citation&cd=162&hl=en,"... the 1000 Functional Connectome Project (FCP) and the International Neuroimaging Data SharingInitiative (INDI) requiring ... community-ascertained samples such as the NKI-Rockland Sample,where the ... The ADHD-200 consortium: a model to advance the translational potential ...",Frontiers in neuroscience,"Gorgolewski, Krzysztof & Margulies, Daniel S & Milham, Michael P",Frontiers,6.0,23390412,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=23390412&cmd=prlinks&retmode=ref,"['Despite calls for consensus among ethics board regarding standards for sharing, marked variation remains. The FCP/INDI efforts provide a clear example of the variability among ethics boards in their decision-making. Built upon the premise of full anonymization of data in compliance with the 18 protected health identifiers specified by the Health Insurance Portability and Accountability Act (HIPAA) privacy rules, the FCP/INDI efforts do not require prior consent by participants for sharing. While the vast majority of ethics boards supported this decision, either deeming the de-identified data no longer be human research data, or arguing the benefits outweigh the minimal risks of sharing, some did require re-consenting. Importantly, not all data can meet the standards of the HIPAA privacy rules (e.g., community-ascertained samples such as the NKI-Rockland Sample, where the county of residence is known for all participants). Even if fully de-identified, concerns can exist for the sharing of data sets with comprehensive medical information or potentially incriminating information (e.g., substance use), increasing the risks associated with data sharing (', 'http://fcon_1000.projects.nitrc.org', 'ADHD-Consortium. (2012). The ADHD-200 consortium: a model to advance the translational potential of neuroimaging in clinical neuroscience. ']"
271,Logical circularity in voxel‐based analysis: Normalization strategy may induce statistical bias,http://onlinelibrary.wiley.com/doi/10.1002/hbm.22211/full,2014.0,24,6,18027123627946522622,,"http://scholar.google.com/scholar?cites=18027123627946522622&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=18027123627946522622&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:_rfNhW01LfoJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYcq-fAW1FFOz8PtlJA8BTtBjX6BYq&scisf=4&ct=citation&cd=359&hl=en,"... Data from the first 14 weeks of a prospective data-sharing initiative sponsored by the1,000 Functional Connectomes Project (FCP)3 were downloaded on January 15, 2011and consisted of 74 subjects (average age in years: 32.4 ± 17.8). ...",Human brain mapping,"Tustison, Nicholas J & Avants, Brian B & Cook, Philip A & Kim, Junghoon & Whyte, John & Gee, James C & Stone, James R",Wiley Online Library,6.0,23151955,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=23151955&cmd=prlinks&retmode=ref,[]
272,Fetal functional imaging portrays heterogeneous development of emerging human brain networks,http://books.google.com/books?hl=en&lr=&id=MRJ4CwAAQBAJ&oi=fnd&pg=PA32&dq=fcon_1000.projects.nitrc.org+OR+%22Rockland+Sample%22+OR+%221000+Functional+Connectomes+Project%22+OR+%22International+Neuroimaging+Data-Sharing+Initiative%22+OR+%22Autism+Brain+Imaging+Data+Exchange%22+OR+ADHD-200+OR+%22Consortium+for+Reproducibility+and+Reliability%22&ots=DIbVJxPWzz&sig=lpOIt9VPxhd57QvHtt215mT8v_U,2015.0,18,14,11525193725675472760,,"http://scholar.google.com/scholar?cites=11525193725675472760&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=11525193725675472760&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:eIdyYqG28Z8J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJUidzhCze2y3nha_U1J6V2RnDrAT1&scisf=4&ct=citation&cd=818&hl=en,"Page 33. ORIGINAL RESEARCH ARTICLE published: 22 October 2014 doi:10.3389/fnhum. 2014.00852 Fetal functional imaging portrays heterogeneousdevelopment of emerging human brain networks András Jakab1*, Ernst ...",Bridging the Gap Before and After Birth: Methods and Technologies to Explore the Functional Neural Development in Humans,"Jakab, Andr{\'a}s & Schwartz, Ernst & Kasprian, Gregor & Gruber, Gerlinde M & Prayer, Daniela & Sch{\""o}pf, Veronika & Langs, Georg",Frontiers Media SA,6.0,25374531,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=25374531&cmd=prlinks&retmode=ref,[]
274,Functional connectivity classification of autism identifies highly predictive brain features but falls short of biomarker standards,http://www.sciencedirect.com/science/article/pii/S2213158214001983,2015.0,18,11,14992680230224247388,,"http://scholar.google.com/scholar?cites=14992680230224247388&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=14992680230224247388&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:XLqJGTyzENAJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMI6_tPWaKOD9JpfOxiBrh46vj1UG_z&scisf=4&ct=citation&cd=237&hl=en,... An additional age and IQ-matched cohort of 178 individuals (89 ASD; 89 TD) from theAutism Brain Imaging Data Exchange (ABIDE) open-access dataset (http://fcon_1000.projects.nitrc.org/indi/abide/) were included for replication. Results. ...,NeuroImage: Clinical,"Plitt, Mark & Barnes, Kelly Anne & Martin, Alex",Elsevier,6.0,25685703,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=25685703&cmd=prlinks&retmode=ref,['N/A']
275,Motor deficits correlate with resting state motor network connectivity in patients with brain tumours,http://brain.oxfordjournals.org/content/early/2012/03/07/brain.aws041.short,2012.0,35,16,3651684947780738902,,"http://scholar.google.com/scholar?cites=3651684947780738902&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=3651684947780738902&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:Vp8c0BxkrTIJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYUqHURhAN1FwOEdp9tRd6B53JMqqH&scisf=4&ct=citation&cd=150&hl=en,"... use are urgently needed. In the present article, we report a rapid technique fordemonstration of motor networks in a control dataset provided in the 1000 FunctionalConnectomes project (Biswal et al., 2010). We then show that ...",Brain,"Otten, Marc L & Mikell, Charles B & Youngerman, Brett E & Liston, Conor & Sisti, Michael B & Bruce, Jeffrey N & Small, Scott A & McKhann, Guy M",Oxford Univ Press,5.833333333333332,22408270,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=22408270&cmd=prlinks&retmode=ref,"['In the present article, we report a rapid technique for demonstration of motor networks in a control dataset provided in the 1000 Functional Connectomes project (', 'A control dataset of right-handed subjects was obtained from the 1000 Functional Connectomes database (', '. Using publicly available scripts from the 1000 Functional Connectomes Project (', 'We applied our technique to a control dataset provided publicly as part of the 1000 Functional Connectomes project (', 'The authors would like to acknowledge L. DeLaPaz, F. Osorio, J. Thompson and T. Wojtasiewicz for their contributions to data acquisition and analysis; M.A. Siefring and T.F. Smusz for subject recruitment; and S.M. Smith, C.E. Mackay, and colleagues at the University of Oxford for contributing their data to the 1000 Functional Connectomes project.']"
276,Abnormal brain synchrony in Down syndrome,http://www.sciencedirect.com/science/article/pii/S2213158213000624,2013.0,29,25,1871011184200841919,,"http://scholar.google.com/scholar?cites=1871011184200841919&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=1871011184200841919&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:v_oSTcIq9xkJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYUlStvDyFnre7mTfImFVNvNKGg2t2&scisf=4&ct=citation&cd=152&hl=en,"... These subjects were derived from the 1000 Functional Connectomes project (FCON 1000, n =623) and typically developing subjects from the ... Specific diagnostic criteria for each site can befound at fcon_1000.projects.nitrc.org/indi/abide/index.html. ... ADHD 200, (216 M, 180 F), ...",NeuroImage: Clinical,"Anderson, Jeffrey S & Nielsen, Jared A & Ferguson, Michael A & Burback, Melissa C & Cox, Elizabeth T & Dai, Li & Gerig, Guido & Edgin, Jamie O & Korenberg, Julie R",Elsevier,5.8,24179822,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=24179822&cmd=prlinks&retmode=ref,['N/A']
277,Brain abnormalities in attention-deficit hyperactivity disorder: a review,http://scholar.google.com/https://www.researchgate.net/profile/Katya_Rubia/publication/266152462_Brain_abnormalities_in_attention-deficit_hyperactivity_disorder_A_review/links/54aa711d0cf274dc0b5c2e85.pdf,2014.0,23,4,6197439955074439596,http://scholar.google.com/https://www.researchgate.net/profile/Katya_Rubia/publication/266152462_Brain_abnormalities_in_attention-deficit_hyperactivity_disorder_A_review/links/54aa711d0cf274dc0b5c2e85.pdf,"http://scholar.google.com/scholar?cites=6197439955074439596&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=6197439955074439596&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:rFkGv826AVYJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYdy9Ig5ZPSVcFI3-EIDY3avn0BVaw&scisf=4&ct=citation&cd=389&hl=en,... A recent competition to apply multivariate methods on a multicenter rest- ing state functional andanatomical imaging dataset of 285 children and adolescents with ADHD and 491 healthy controls(ADHD-200 Consortium; http://fcon_1000.projects.nitrc.org/indi/adhd200/) was ...,Rev Neurol,"Rubia, Katya & Alegr{\'\i}a, Analuc{\'\i}a A & Brinson, Helen",,5.75,25252664,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=25252664&cmd=prlinks&retmode=ref,[]
279,Connectivity in autism: A review of MRI connectivity studies,http://scholar.google.com/https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5083037/,2015.0,17,8,16094992262884591840,,"http://scholar.google.com/scholar?cites=16094992262884591840&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=16094992262884591840&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:4IjlKzDmXN8J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJLbP8JJc4GNYq9hmREQx0C4dOC5Mp&scisf=4&ct=citation&cd=604&hl=en,"... a 1.5T scanner. Two studies were based on the multisite Autism Brain Image DataExchange (ABIDE; http://fcon_1000.projects.nitrc.org/indi/abide/) data set, in whichthe magnet strengths varied. General Electric and Siemens ...",Harvard review of psychiatry,"Rane, Pallavi & Cochran, David & Hodge, Steven M & Haselgrove, Christian & Kennedy, David & Frazier, Jean A",NIH Public Access,5.666666666666668,26146755,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=26146755&cmd=prlinks&retmode=ref,[]
280,Neural processes in the human temporoparietal cortex separated by localized independent component analysis,http://www.jneurosci.org/content/35/25/9432.short,2015.0,17,7,7658586521334294009,,"http://scholar.google.com/scholar?cites=7658586521334294009&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=7658586521334294009&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:-aW5Pd3DSGoJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMI-4G2dPP6nZLx-DZJXlJc7X7YE1r_&scisf=4&ct=citation&cd=323&hl=en,,Journal of Neuroscience,"Igelstr{\""o}m, Kajsa M & Webb, Taylor W & Graziano, Michael SA",Soc Neuroscience,5.666666666666668,26109666,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=26109666&cmd=prlinks&retmode=ref,"['We used three independent datasets acquired at different sites by different researchers (Datasets A–C). Dataset A was acquired onsite and included 19 healthy subjects of both sexes (9 females, 10 males; age range 18–51 years, median 24). The study was approved by the Institutional Review Board of Princeton University and the subjects provided written consent. Datasets B and C were two independent publicly available datasets acquired at different sites and downloaded from the 1000 Functional Connectomes Project website (']"
281,Fully exploratory network independent component analysis of the 1000 functional connectomes database,http://journal.frontiersin.org/article/10.3389/fnhum.2012.00301/abstract,2012.0,34,14,18379557962381188462,,"http://scholar.google.com/scholar?cites=18379557962381188462&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=18379557962381188462&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:bt1udJZOEf8J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYXWXWl2Jz2IQZzI-GOdban1ADCnEQ&scisf=4&ct=citation&cd=222&hl=en,"... The 1000 Functional Connectomes Project is a collection of resting-state fMRIdatasets from more than 1000 subjects acquired in more than 30 independent studiesfrom around the globe. This large, heterogeneous sample ...",Frontiers in human neuroscience,"Kalcher, Klaudius & Huf, Wolfgang & Boubela, Roland Norbert & Filzmoser, Peter & Pezawas, Lukas & Biswal, Bharat B & Kasper, Siegfried & Moser, Ewald & Windischberger, Christian",Frontiers,5.666666666666668,23133413,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=23133413&cmd=prlinks&retmode=ref,"['The 1000 Functional Connectomes Project is a collection of resting-state fMRI datasets from more than 1000 subjects acquired in more than 30 independent studies from around the globe. This large, heterogeneous sample of resting-state data offers the unique opportunity to study the consistencies of resting-state networks at both subject and study level. In extension to the seminal paper by ', '). The 1000 Functional Connectomes Project (', 'The entirety of the dataset of the 1000 Functional Connectomes Project (', "" nature of the 1000 Functional Connectomes dataset's formation by merging independent, non-coordinated individual studies, between-study heterogeneity is an important issue to clarify before analyzing this dataset. The original analysis by "", ""Of note, it can be seen that while on the one hand there are some components that can be found in almost all component sets of single studies analyzed separately (C.01, C.03, C.07–C.09), other components appear only in the single-study results of about half of the studies included in the 1000 Functional Connectomes dataset (C.02, C.12–C.16). Still, even the most consistent group components do not exhibit uniformly high spatial correlation with their matching components or fail to bidirectionally match with a component from each set of single-study components. Component C.08, for instance, has a partner-matched component in every single study, yet spatial correlations with its matched components are as low as 0.12 for the dataset Ann Arbor b, 0.39 for Milwaukee a and 0.46 for München. Conversely, there is a generally low consistency of some studies with all group results (the maximum correlations of a component of the three example studies mentioned above with a group component are 0.65, 0.7, and 0.62, respectively). On the other extreme, there are some group components which could not be unambiguously matched to only one component in a given study despite there being a component with high spatial correlation. This is an indication that there might be a second equally well matching component in this study's dataset, probably due to a division of the network into subcomponents."", ' who, using a different method for the group ICA, identified a cerebellar network on data from the 1000 Functional Connectomes database. On a related note, in the short duration of a typical fMRI resting-state scan, it is possible that not all networks show a distinguishable activity pattern in all subjects to be discerned by ICA methods, which might also account for some between-subject variability in the networks identified. This fact is also a useful reminder that there are limits in the interpretability of individual ICA components (', ', group ICA as the most complex of the computational tasks involved was performed separately on multiple subsets of 306 subjects due to computational limitations preventing simultaneous analysis of the whole sample. The extensive work of the R community in the handling of large datasets and parallel computing, including computation on graphics processing units (GPUs), provides the tools for analyses previously prohibitive from a computational point of view and accelerates the emergence of data driven discovery science in the field of neuroimaging. For instance, the exploratory approach used in this work allows for the unbiased drawing of an overall picture of the substantial amount of data acquired in 33 studies performed by 26 centers worldwide, while still keeping the total processing time under a week. The most important addition to the current knowledge made possible by the computational techniques employed, however, is the assessment of heterogeneity of resulting components with respect to the entire sample, both at the level of single subjects and of individual studies. As a result, an overview on networks more commonly found in individual studies as well as an assessment of divergence between the sets of networks intrinsically emerging from the data of different centers has been presented, possibly providing some guidance for the interpretation of variability in resting-state networks obtained in past and future studies. This paper shows the richness of evidence present in the 1000 Functional Connectomes dataset, but ultimately only scratches the surface of what can be examined and opens a host of new questions to be answered in future analyses.', 'We want to thank all investigators contributing data to the 1000 Functional Connectomes project, without whom this analysis could not have been performed. This study has been supported by funds of the Oesterreichische Nationalbank (Anniversary Fund, project numbers: 13890, 13903, and 12982), by the Austrian Science Fund (FWF) as part of the Special Research Program 35 (SFB-35) and by the Institute for the Study of Affective Neuroscience (ISAN).']"
282,Increased functional connectivity in the default mode network in mild cognitive impairment: a maladaptive compensatory mechanism associated with poor semantic  …,http://content.iospress.com/articles/journal-of-alzheimers-disease/jad142547,2015.0,17,9,16780262508697434530,,"http://scholar.google.com/scholar?cites=16780262508697434530&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=16780262508697434530&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:ojm3lNh33-gJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJJJsPfGFwFrkKbNUrRyOmn5XhmQXd&scisf=4&ct=citation&cd=550&hl=en,"... Image processing All the imaging data were preprocessed using AFNI [42] and FSL(http://www.fmrib.ox.ac.uk) with the 1000 Functional Connectomes Project scripts (http://www.nitrc.org/projects/fcon 1000). Briefly, after Page 5. S. Gardini et al. ...",Journal of Alzheimer's Disease,"Gardini, Simona & Venneri, Annalena & Sambataro, Fabio & Cuetos, Fernando & Fasano, Fabrizio & Marchi, Massimo & Crisi, Girolamo & Caffarra, Paolo",IOS Press,5.666666666666668,25547636,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=25547636&cmd=prlinks&retmode=ref,[]
284,"Diagnostic classification of intrinsic functional connectivity highlights somatosensory, default mode, and visual regions in autism",http://www.sciencedirect.com/science/article/pii/S2213158215000698,2015.0,17,11,6219991949261799217,,"http://scholar.google.com/scholar?cites=6219991949261799217&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=6219991949261799217&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:Mf-JEbnZUVYJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMI--YiDgu69YczmOUEjSECpVRYGTKF&scisf=4&ct=citation&cd=326&hl=en,"... 2. Methods and materials. Data were selected from the Autism Brain Imaging DataExchange (ABIDE, http://fcon_1000.projects.nitrc.org/indi/abide/) (Di Martino et al., 2013),a collection of over 1100 resting-state scans from 17 different sites. ...",NeuroImage: Clinical,"Chen, Colleen P & Keown, Christopher L & Jahedi, Afrooz & Nair, Aarti & Pflieger, Mark E & Bailey, Barbara A & M{\""u}ller, Ralph-Axel",Elsevier,5.666666666666668,26106547,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=26106547&cmd=prlinks&retmode=ref,['N/A']
285,Neural networks related to dysfunctional face processing in autism spectrum disorder,http://link.springer.com/article/10.1007/s00429-014-0791-z,2015.0,17,19,6562752035704028430,,"http://scholar.google.com/scholar?cites=6562752035704028430&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=6562752035704028430&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:Dj0cnTSUE1sJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMI3u6MqHPekjnbTkytlQHp6minAMkK&scisf=4&ct=citation&cd=169&hl=en,"... Resting state images were obtained from the Nathan Kline Institute “Rockland” sample,which are available online as part of the International Neuroimaging DatasharingInitiative (http://fcon_1000.projects.nitrc.org/indi/pro/nki.html). ...",Brain Structure and Function,"Nickl-Jockschat, Thomas & Rottschy, Claudia & Thommes, Johanna & Schneider, Frank & Laird, Angela R & Fox, Peter T & Eickhoff, Simon B",Springer,5.666666666666668,24869925,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=24869925&cmd=prlinks&retmode=ref,[]
286,Your resting brain CAREs about your risky behavior,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0012296,2010.0,45,21,11841870441458051014,,"http://scholar.google.com/scholar?cites=11841870441458051014&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=11841870441458051014&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:xidO82zGVqQJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYhEYGRkrQ4PsAQMIrIcPlB8GEJDXK&scisf=4&ct=citation&cd=479&hl=en,... Scripts containing a similar sequence of the processing commands employed here to computeseed-based RSFC have been released as part of the '1000 Functional Connectomes Project'[49] (http://www.nitrc.org/projects/fcon_1000). Group-Level RSFC Analyses. ...,PloS one,"Cox, Christine L & Gotimer, Kristin & Roy, Amy K & Castellanos, F Xavier & Milham, Michael P & Kelly, Clare",Public Library of Science,5.625,20808870,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20808870&cmd=prlinks&retmode=ref,['Scripts containing a similar sequence of the processing commands employed here to compute seed-based RSFC have been released as part of the ‘1000 Functional Connectomes Project’ ']
