i,Title,URL,Year,Citations,Versions,Cluster ID,PDF link,Citations list,Versions list,Citation link,Excerpt,Journal,Authors,Publisher,Citations Per Year,Journal Category,PMCID,Affiliations,Qualifiers,Data Use,Sets
377,Spatio-temporal Granger causality: A new framework,http://www.sciencedirect.com/science/article/pii/S1053811913004503,2013.0,21,22,2011404004856771959,,"http://scholar.google.com/scholar?cites=2011404004856771959&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=2011404004856771959&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:dzVJGUnx6RsJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYSCltKcKKeaUnQiYM-_9LU9ofZe2n&scisf=4&ct=citation&cd=93&hl=en,"... This set of fMRI data comes from the enhanced Nathan Kline Institute-Rockland Sample. ... aboutthis dataset, please see the website at http://fcon_1000.projects.nitrc.org/indi/pro ... dataset is a subsetof a large database, called the 1000 Functional Connectomes Project (Biswal et al ...",NeuroImage,"Luo, Qiang & Lu, Wenlian & Cheng, Wei & ValdesSosa, Pedro A & Wen, Xiaotong & Ding, Mingzhou & Feng, Jianfeng",Elsevier,4.2,Journal,23643924,"Department of Management, School of Information Systems and Management, National University of Defense Technology, Hunan 410073, PR China.",methods & physiology,Y,NKI
378,Functional connectivity profile of the human inferior frontal junction: involvement in a cognitive control network,https://bmcneurosci.biomedcentral.com/articles/10.1186/1471-2202-13-119,2012.0,25,15,5439117575939201434,,"http://scholar.google.com/scholar?cites=5439117575939201434&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5439117575939201434&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:mplwHZ6ge0sJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYXyaOt_KHuSziRi7eRDLAay35j-jw&scisf=4&ct=citation&cd=231&hl=en,... For each participant 119 volumes of 47 slices had been acquired with TR = 3 s using a 3 TeslaMRI-scanner (resulting total acquisition time 5 min 57 s). The dataset is publicly available fromthe 1000 Functional Connectomes Project (FCP) [26] and data were provided by RL ...,BMC neuroscience,"Sundermann, Benedikt & Pfleiderer, Bettina",BioMed Central,4.166666666666667,Journal,23033990,"Department of Clinical Radiology, University Hospital Münster, Albert-Schweitzer-Campus 1, Gebäude A1, 48149, Münster, Germany. benedikt.sundermann@ukmuenster.de",psychology & statistics & numerical data & methods & physiology,Y,FCP
379,Altered mGluR5-Homer scaffolds and corticostriatal connectivity in a Shank3 complete knockout model of autism,http://www.nature.com/ncomms/2016/160510/ncomms11459/full/ncomms11459.html,2016.0,8,13,1405342621217502599,,"http://scholar.google.com/scholar?cites=1405342621217502599&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=1405342621217502599&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:h7ViDavHgBMJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJVotfTa8w3S4j5Q6OB9DwB98HZMGf&scisf=4&ct=citation&cd=838&hl=en,,Nature communications,"Wang, Xiaoming & Bey, Alexandra L & Katz, Brittany M & Badea, Alexandra & Kim, Namsoo & David, Lisa K & Duffney, Lara J & Kumar, Sunil & Mague, Stephen D & Hulbert, Samuel W & others",Nature Publishing Group,4.0,Journal,27161151,"Department of Cell Biology, Duke University, Durham, North Carolina 27710, USA. && Department of Pediatrics, Duke University, Durham, North Carolina 27710, USA. && Department of Ophthalmology, Duke University, Durham, North Carolina 27710, USA. && Department of Radiology, Duke University, Durham, North Carolina 27710, USA. && Department of Cell Biology and Physiology, The University of North Carolina at Chapel Hill, North Carolina 27599, USA. && Department of Child Health Care, The Children's Hospital of Fudan University, 399 Wanyuan Road, Shanghai 201102, China. && Department of Psychiatry and Behavioral Sciences, Duke University, Durham, North Carolina 27710, USA. && Department of Psychology and Neuroscience, Duke University, Durham, North Carolina 27710, USA. && University Program in Genetics and Genomics, Duke University, Durham, North Carolina 27710, USA. && Department of Neurobiology, Duke University, Durham, North Carolina 27710, USA. && Duke Institute for Brain Sciences, Duke University, Durham, North Carolina 27710, USA.",,N,ABIDE
380,Impact of the resolution of brain parcels on connectome-wide association studies in fMRI,http://www.sciencedirect.com/science/article/pii/S1053811915006916,2015.0,12,8,4240704494286858227,,"http://scholar.google.com/scholar?cites=4240704494286858227&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=4240704494286858227&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:8-de80QC2joJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJQHgC-BEHIpSzyjOvCwtnRSAs7YoF&scisf=4&ct=citation&cd=717&hl=en,A recent trend in functional magnetic resonance imaging is to test for association of clinicaldisorders with every possible connection between selected brain p.,NeuroImage,"Bellec, Pierre & Benhajali, Yassine & Carbonell, Felix & Dansereau, Christian & Albouy, Genevieve & Pelland, Maxime & Craddock, Cameron & Collignon, Oliver & Doyon, Julien & Stip, Emmanuel & others",Elsevier,4.0,Journal,26241681,"Functional Neuroimaging Unit, Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal, Canada; Department of Computer Science and Operations Research, University of Montreal, Montreal, QC, Canada. Electronic address: pierre.bellec@criugm.qc.ca. && Functional Neuroimaging Unit, Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal, Canada; Department of Psychology, University of Montreal, Montreal, QC, Canada. && Functional Neuroimaging Unit, Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal, Canada; Department of Anthropology, University of Montreal, Montreal, QC, Canada. && Functional Neuroimaging Unit, Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal, Canada; Department of Psychiatry, University of Montreal, Montreal, QC, Canada. && Department of Psychiatry, University of Montreal, Montreal, QC, Canada; Centre Hospitalier de l'Université de Montréal, Montreal, QC, Canada. && Nathan Kline Institute for Psychiatric Research, Orangeburg, NY, USA; Center for the Developing Brain, Child Mind Institute, New York, NY, USA. && Biospective Incorporated, Montreal, QC, Canada. && Functional Neuroimaging Unit, Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal, Canada; Department of Computer Science and Operations Research, University of Montreal, Montreal, QC, Canada. && Department of Psychology, University of Montreal, Montreal, QC, Canada.",congenital & Connectome & methods & physiology & Functional brain parcellation & physiopathology & Multiple comparison & fMRI & Multiresolution analysis & False discovery rate & General linear model,Y,FCP
381,Altered resting state functional connectivity of anterior insula in young smokers,http://link.springer.com/article/10.1007/s11682-016-9511-z,2016.0,8,2,5183215499962885960,,"http://scholar.google.com/scholar?cites=5183215499962885960&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=5183215499962885960&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:SCeWDQl77kcJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJHunRzqGeqhfUPUfEP4YKLL8rJf_3&scisf=4&ct=citation&cd=519&hl=en,... portion (Fig. 1) using the analytic scripts download via http:// fcon_1000.projects.nitrc.org as seeds (Kelly et al. 2012). The averaged fMRI time series for total voxels of eachseed was considered as the reference time series. RSFC ...,Brain imaging and behavior,"Bi, Yanzhi & Yuan, Kai & Guan, Yanyan & Cheng, Jiadong & Zhang, Yajuan & Li, Yangding & Yu, Dahua & Qin, Wei & Tian, Jie",Springer,4.0,Journal,26843002,"School of Life Science and Technology, Xidian University, Xi'an, Shaanxi, 710071, China. && School of Life Science and Technology, Xidian University, Xi'an, Shaanxi, 710071, China. kyuan@xidian.edu.cn. && Engineering Research Center of Molecular and Neuro Imaging, Ministry of Education, Xi'an, China. tian@ieee.org. && School of Life Science and Technology, Xidian University, Xi'an, Shaanxi, 710071, China. tian@ieee.org. && Information Processing Laboratory, School of Information Engineering, Inner Mongolia University of Science and Technology, Baotou, Inner Mongolia, China. kyuan@xidian.edu.cn. && Information Processing Laboratory, School of Information Engineering, Inner Mongolia University of Science and Technology, Baotou, Inner Mongolia, China. && Institute of Automation, Chinese Academy of Sciences, Beijing, China. tian@ieee.org. && Engineering Research Center of Molecular and Neuro Imaging, Ministry of Education, Xi'an, China. && Engineering Research Center of Molecular and Neuro Imaging, Ministry of Education, Xi'an, China. kyuan@xidian.edu.cn.",Craving & Young smokers & Cognitive control & Resting state functional connectivity & Insula,S,FCP
382,Atypical resting synchrony in autism spectrum disorder,http://onlinelibrary.wiley.com/doi/10.1002/hbm.22604/full,2014.0,16,10,9165374946513992861,,"http://scholar.google.com/scholar?cites=9165374946513992861&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=9165374946513992861&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:nTw7IPTzMX8J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYouRNO3j4jejLN29lyWc3qqnnbUX4&scisf=4&ct=citation&cd=663&hl=en,By continuing to browse this site you agree to us using cookies as described in AboutCookies. Notice: Some Wiley Online Library Journal subscribe and renew pageswill be unavailable on Wednesday 11th January 2017 from ...,Human brain mapping,"Ye, Annette X & Leung, Rachel C & Schafer, Carmen B & Taylor, Margot J & Doesburg, Sam M",Wiley Online Library,4.0,Journal,25116896,"Diagnostic Imaging, Hospital for Sick Children, Toronto, Ontario; Institute of Medical Science, University of Toronto, Toronto, Ontario; Neurosciences and Mental Health, Hospital for Sick Children Research Institute, Toronto, Ontario.",resting-state & neural oscillations & graph theory & functional connectivity & autism spectrum disorder & phase synchrony & physiopathology & magnetoencephalography & developmental cognitive neuroscience & social cognition,N,ABIDE
383,Brain “Globalopathies” cause mental disorders,http://www.sciencedirect.com/science/article/pii/S0306987713004702,2013.0,20,6,11373696482708307972,,"http://scholar.google.com/scholar?cites=11373696482708307972&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=11373696482708307972&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:BEDwyrB8150J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYdx2LWjXnChZqJ3BdSaEsSh9rkQhA&scisf=4&ct=citation&cd=380&hl=en,"“Consciousness” “mood,” “identity” and “personality” are all emergent propertiesfrom whole-brain organizations; these are typically disturbed i.",Medical hypotheses,"Peled, Abraham",Elsevier,4.0,Journal,24161400,"Sha'ar Menashe Mental Health Center, Hadera, Israel; Rappaport Faculty of Medicine, Technion, Israel Institute of Technology, Haifa, Israel. Electronic address: renak@lev-hasharon.co.il.",diagnosis & physiopathology & etiology & classification & physiology & pathology,N,FCP
384,Disrupted functional connectivity in dorsal and ventral attention networks during attention orienting in autism spectrum disorders,http://onlinelibrary.wiley.com/doi/10.1002/aur.1430/full,2015.0,12,5,17672509522865212892,,"http://scholar.google.com/scholar?cites=17672509522865212892&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=17672509522865212892&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:3M0WMMddQfUJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJSyOWov32Lw1OUUFTFCsK3Au1_Krw&scisf=4&ct=citation&cd=779&hl=en,By continuing to browse this site you agree to us using cookies as describedin About Cookies. Remove maintenance message. ...,Autism Research,"Fitzgerald, Jacqueline & Johnson, Katherine & Kehoe, Elizabeth & Bokde, Arun LW & Garavan, Hugh & Gallagher, Louise & McGrath, Jane",Wiley Online Library,4.0,Journal,25428212,"Department of Psychiatry, School of Medicine, Trinity College Dublin, Dublin, Ireland; Institute of Neuroscience, The Lloyd Institute, Trinity College Dublin, Dublin, Ireland.",physiopathology & autism spectrum disorders & neuroimaging & attention orienting & attention network & functional connectivity & physiology,N,ABIDE
385,"Characteristics of brains in autism spectrum disorder: Structure, function and connectivity across the lifespan",https://synapse.koreamed.org/DOIx.php?id=10.5607/en.2015.24.4.273,2015.0,12,20,17065176811178369897,,"http://scholar.google.com/scholar?cites=17065176811178369897&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=17065176811178369897&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:aSOFA-Wv0-wJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJJNQ0ehlpwmV13X1aFOvw3mdyoSW6&scisf=4&ct=citation&cd=557&hl=en,KoreaMed Synapse. ...,Experimental neurobiology,"Ha, Sungji & Sohn, InJung & Kim, Namwook & Sim, Hyeon Jeong & Cheon, KeunAh",,4.0,Journal,26713076,"Department of Psychiatry, Institute of Behavioral Science in Medicine and Yonsei Autism Laboratory, Yonsei University College of Medicine, Seoul 03722, Korea. ; Division of Child and Adolescent Psychiatry, Severance Children's Hospital, Yonsei University College of Medicine, Seoul 03722, Korea. && Department of Psychiatry, Institute of Behavioral Science in Medicine and Yonsei Autism Laboratory, Yonsei University College of Medicine, Seoul 03722, Korea.",Magnetic resonance image (MRI) & Neuroimaging & Autism spectrum disorder (ASD) & Diffusion tensor image (DTI) & Functional MRI (fMRI),N,ABIDE
386,Scanning the horizon: towards transparent and reproducible neuroimaging research,http://www.nature.com/nrn/journal/vaop/ncurrent/full/nrn.2016.167.html,2017.0,4,5,2843882266180226677,,"http://scholar.google.com/scholar?cites=2843882266180226677&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=2843882266180226677&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:dY60gtp_dycJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMI5lOkpCR_BUdhk9PBT2E5EKJGCEPA&scisf=4&ct=citation&cd=209&hl=en,"... scale consortia, which have amassed samples in the tens or hundreds of thousands (Box 1).There are examples of successful consortia in neuroimaging, including the 1000 FunctionalConnectomes Project and its International Neuroimaging Data-Sharing Initiative (INDI) 3, 26 ...",Nature Reviews Neuroscience,"Poldrack, Russell A & Baker, Chris I & Durnez, Joke & Gorgolewski, Krzysztof J & Matthews, Paul M & Munafo, Marcus R & Nichols, Thomas E & Poline, JeanBaptiste & Vul, Edward & Yarkoni, Tal",Nature Research,4.0,Journal,28053326,"UK Centre for Tobacco and Alcohol Studies, School of Experimental Psychology, University of Bristol, Bristol BS8 1TU, UK. && Department of Psychology, University of Texas at Austin, Austin, Texas 78712, USA. && Medical Research Council (MRC) Integrative Epidemiology Unit at the University of Bristol, Bristol BS8 1BN, UK. && Department of Psychology and Stanford Center for Reproducible Neuroscience, Stanford University, Stanford, California 94305, USA. && Laboratory of Brain and Cognition, National Institute of Mental Health, US National Institutes of Health, Maryland 20892, USA. && Department of Statistics and WMG, University of Warwick, Coventry CV4 7AL, UK. && Department of Psychology, University of California, San Diego, San Diego, California 92093, USA. && Institut National de Recherche en Informatique et en Automatique (INRIA) Parietal, Neurospin, Building 145, CEA Saclay, 91191 Gif sur Yvette, France. && Division of Brain Sciences, Department of Medicine, Imperial College Hammersmith Hospital, London W12 0NN, UK. && Helen Wills Neuroscience Institute, Henry H. Wheeler Jr. Brain Imaging Center, University of California, 132 Barker Hall 210S, Berkeley, California 94720-3192, USA.",,N,FCP
387,MIGRAINE: MRI graph reliability analysis and inference for connectomics,http://ieeexplore.ieee.org/abstract/document/6736878/,2013.0,20,10,983640921837886360,,"http://scholar.google.com/scholar?cites=983640921837886360&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=983640921837886360&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:mFuv9DSYpg0J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYgUID0_W4hgRbZRQ25u48d1ygKP8f&scisf=4&ct=citation&cd=459&hl=en,"... NeuroImage, vol. 54, no. 4, pp. 2854–66, Mar. 2011. [9] KB Nooner et al., “TheNKI-Rockland Sample: A Model for Accelerating the Pace of Discovery Science inPsychiatry,” Frontiers in Neuroscience, vol. 6, no. 152, 2012. [10] BC ...",,"Roncal, William Gray & Koterba, Zachary H & Mhembere, Disa & Kleissas, Dean M & Vogelstein, Joshua T & Burns, Randal & Bowles, Anita R & Donavos, Dimitrios K & Ryman, Sephira & Jung, Rex E & others",,4.0,Other,0,,,Y,NKI
388,Growth charting of brain connectivity networks and the identification of attention impairment in youth,http://jamanetwork.com/journals/jamapsychiatry/fullarticle/2513687,2016.0,8,6,14890963662501029572,,"http://scholar.google.com/scholar?cites=14890963662501029572&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=14890963662501029572&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:xKafKo5Up84J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJPTw-A9P_5pq2xndmVXn8aFNKUaCD&scisf=4&ct=citation&cd=695&hl=en,This study uses data from the Philadelphia Neurodevelopmental Cohort to evaluate thecharting of brain intrinsic connectivity network patterns to serve as a mea.,JAMA psychiatry,"Kessler, Daniel & Angstadt, Michael & Sripada, Chandra",American Medical Association,4.0,Journal,27076193,"Department of Psychiatry, University of Michigan, Ann Arbor.",physiopathology & pathology & psychology & diagnosis,N,ADHD200
389,Connectivity-based parcellation increases network detection sensitivity in resting state fMRI: An investigation into the cingulate cortex in autism,http://www.sciencedirect.com/science/article/pii/S2213158216300572,2016.0,8,12,17182692121242747563,,"http://scholar.google.com/scholar?cites=17182692121242747563&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=17182692121242747563&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:q8KTS3Ivde4J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJUiCJsizk-ODYR8KloxVha1SKZ6rK&scisf=4&ct=citation&cd=813&hl=en,"Although resting state fMRI (RS-fMRI) is increasingly used to generate biomarkers ofpsychiatric illnesses, analytical choices such as seed size and placement c.",NeuroImage: Clinical,"Balsters, Joshua H & Mantini, Dante & Apps, Matthew AJ & Eickhoff, Simon B & Wenderoth, Nicole",Elsevier,4.0,Journal,27114898,"Neural Control of Movement Laboratory, Department of Health Sciences and Technology, ETH Zurich, Switzerland. && Neural Control of Movement Laboratory, Department of Health Sciences and Technology, ETH Zurich, Switzerland; Department of Experimental Psychology, University of Oxford, Oxford OX1 3UD, UK; Movement Control and Neuroplasticity Research Group, Department of Kinesiology, KU Leuven, Belgium. && Department of Experimental Psychology, University of Oxford, Oxford OX1 3UD, UK. && Institute of Neuroscience and Medicine (INM-1), Research Center Jülich, Germany; Institute of Clinical Neuroscience and Medical Psychology, Heinrich-Heine University Düsseldorf, Germany. && Neural Control of Movement Laboratory, Department of Health Sciences and Technology, ETH Zurich, Switzerland; Movement Control and Neuroplasticity Research Group, Department of Kinesiology, KU Leuven, Belgium.",blood & Meta-Analytic Connectivity Modeling & diagnostic imaging & Cingulate cortex & Autism Spectrum Disorder & blood supply & Resting state fMRI,Y,ABIDE
390,Chemotherapy altered brain functional connectivity in women with breast cancer: a pilot study,http://link.springer.com/article/10.1007/s11682-013-9244-1,2013.0,20,9,579533379852534012,,"http://scholar.google.com/scholar?cites=579533379852534012&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=579533379852534012&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2014",http://scholar.googleusercontent.com/scholar.bib?q=info:_ICX2YnqCggJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMrYfmYTJ3kaIbwgEuR60aHn_DL3tThq&scisf=4&ct=citation&cd=438&hl=en,"... Functional connectivity analyses. Functional connectivity analyses were completed using the1,000 Functional Connectomes Project Scripts available at www.nitrc.org/projects/fcon_1000/.Preprocessing was completed using both AFNI (Cox 1996) and FSL (www.fmrib.ox.ac.uk). ...",Brain imaging and behavior,"Dumas, Julie A & Makarewicz, Jenna & Schaubhut, Geoffrey J & Devins, Robert & Albert, Kimberly & Dittus, Kim & Newhouse, Paul A",Springer,4.0,Journal,23852814,"Clinical Neuroscience Research Unit, Department of Psychiatry, University of Vermont College of Medicine, 1 South Prospect St, Burlington, VT, 05401, USA, jdumas@uvm.edu.",physiopathology & drug therapy & adverse effects & methods & complications & therapeutic use & drug effects,S,FCP
391,Fully connected cascade artificial neural network architecture for attention deficit hyperactivity disorder classification from functional magnetic resonance imaging data,http://ieeexplore.ieee.org/abstract/document/7001645/,2015.0,12,6,4505830404492777177,,"http://scholar.google.com/scholar?cites=4505830404492777177&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=4505830404492777177&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:2VbyReHshz4J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMI3ujVlU379V-QOH2ADtbU6eeVnn2W&scisf=4&ct=citation&cd=167&hl=en,"... smoothing and normalization, frame-wise displacement adjustment, temporal band-pass filtering,etc.) fMRI time series data from 190 brain regions of 744 TDC subjects, 260 ADHD-C subjects,and 173 ADHD-I subjects were obtained from the ADHD-200 global competition ...",IEEE transactions on cybernetics,"Deshpande, Gopikrishna & Wang, Peng & Rangaprakash, D & Wilamowski, Bogdan",IEEE,4.0,Other,25576588,,methods & physiology & diagnosis,Y,ADHD200
392,"Neural, electrophysiological and anatomical basis of brain-network variability and its characteristic changes in mental disorders",http://brain.oxfordjournals.org/content/139/8/2307.abstract,2016.0,8,9,1445065532077308636,,"http://scholar.google.com/scholar?cites=1445065532077308636&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=1445065532077308636&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:3Pqg9HHnDRQJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMI0H8Ab-ChdnJlXtEM1jBTnYM3ehR3&scisf=4&ct=citation&cd=91&hl=en,Skip to main content. OUP user menu. ...,Brain,"Zhang, Jie & Cheng, Wei & Liu, Zhaowen & Zhang, Kai & Lei, Xu & Yao, Ye & Becker, Benjamin & Liu, Yicen & Kendrick, Keith M & Lu, Guangming & others",Oxford Univ Press,4.0,Journal,27421791,"7 Key Laboratory for Neuroinformation, Center for Information in Medicine, University of Electronic Science and Technology of China, Chengdu, PR China. && 1 Institute of Science and Technology for Brain-Inspired Intellegence, Fudan University, Shanghai 200433, PR China 2 Department of Medical Imaging, Jinling Hospital, Nanjing University School of Medicine, Nanjing 210002, PR China jianfeng64@gmail.com jzhang080@gmail.com. && 1 Institute of Science and Technology for Brain-Inspired Intellegence, Fudan University, Shanghai 200433, PR China. && 5 Key Laboratory of Cognition and Personality, Ministry of Education, Chongqing, China 6 Sleep and NeuroImaging Center, Faculty of Psychology, Southwest University, Chongqing, China. && 1 Institute of Science and Technology for Brain-Inspired Intellegence, Fudan University, Shanghai 200433, PR China 9 Department of Computer Science, University of Warwick, Coventry CV4 7AL, UK 1 Institute of Science and Technology for Brain-Inspired Intellegence, Fudan University, Shanghai 200433, PR China 1 Institute of Science and Technology for Brain-Inspired Intellegence, Fudan University, Shanghai 200433, PR China jianfeng64@gmail.com jzhang080@gmail.com. && 4 NEC Laboratories America, 4 Independence Way, Princeton, NJ 08540, USA. && 1 Institute of Science and Technology for Brain-Inspired Intellegence, Fudan University, Shanghai 200433, PR China 3 School of Computer Science and Technology, Xidian University, Xi'an 710071, Shanxi, PR China. && 2 Department of Medical Imaging, Jinling Hospital, Nanjing University School of Medicine, Nanjing 210002, PR China 8 Jinling Hospital-Fudan University Computational Translational Medicine Center, Jinling Hospital, Nanjing University School of Medicine, Nanjing 210002, PR China.",mental disorders & brain flexibility and adaptability & resting-state functional MRI & functional brain networks & temporal variability,Y,ABIDE
393,The singular nature of auditory and visual scene analysis in autism,http://rstb.royalsocietypublishing.org/content/372/1714/20160115.abstract,2017.0,4,2,8034099426363687114,,"http://scholar.google.com/scholar?cites=8034099426363687114&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=8034099426363687114&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:ysCTntzafm8J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJQqYJemxAX_i7JYVbsP46Qj0abWOC&scisf=4&ct=citation&cd=727&hl=en,,Phil. Trans. R. Soc. B,"Lin, IFan & Shirama, Aya & Kato, Nobumasa & Kashino, Makio",The Royal Society,4.0,Journal,28044025,"Medical Institute of Developmental Disabilities Research, Showa University Karasuyama Hospital, Tokyo 157-8577, Japan. && CREST, JST, Atsugi, Kanagawa 243-0198, Japan. && NTT Communication Science Laboratories, NTT Corporation, Atsugi, Kanagawa 243-0198, Japan. && NTT Communication Science Laboratories, NTT Corporation, Atsugi, Kanagawa 243-0198, Japan kashino.makio@lab.ntt.co.jp. && School of Engineering, Tokyo Institute of Technology, Yokohama, Kanagawa 226-8503, Japan. && Taipei City Hospital, Taipei 106, Taiwan.",visual perception & autism spectrum disorder & neural basis & auditory perception,N,ABIDE
394,Analyzing the association between functional connectivity of the brain and intellectual performance,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4322636/,2015.0,12,15,4397047567276595295,,"http://scholar.google.com/scholar?cites=4397047567276595295&as_sdt=2005&sciodt=0,5&hl=en","http://scholar.google.com/scholar?cluster=4397047567276595295&hl=en&as_sdt=0,5&as_ylo=2015",http://scholar.googleusercontent.com/scholar.bib?q=info:X1gERHdzBT0J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWMMJBWcWd2bBx3R5lKxmQXaypGVmFr87&scisf=4&ct=citation&cd=385&hl=en,"... from 30 subjects (13M/17F, age: 26.5 ± 5.5, age range: 20–42, right-handed) was included inthe analysis to provide a baseline for the small-worldness measurement, and classified as Dataset2. These images were from the 1000 Functional Connectomes Project (Biswal et al ...",Frontiers in human neuroscience,"Pamplona, Gustavo SP & Neto, Gerson S Santos & Rosset, Sara RE & Rogers, Baxter P & Salmon, Carlos EG",Frontiers Media SA,4.0,Journal,25713528,"Faculty of Medicine of Ribeirão Preto, University of São Paulo São Paulo, Brazil. && InBrain Lab, Department of Physics, Faculty of Philosophy, Sciences and Letters of Ribeirão Preto, University of São Paulo São Paulo, Brazil. && Department of Radiology and Radiological Sciences, Department of Biomedical Engineering, Institute of Imaging Science, Vanderbilt University Nashville, TN, USA.",intelligence & network parameters & functional connectivity & fMRI & exploratory data analysis & Wechsler intelligence scales,Y,FCP
